Mixture1	Mixture2	Mixture3	Mixture4	Mixture5	Mixture6	Mixture7	Mixture8	Mixture9	Mixture10	Mixture11	Mixture12	Mixture13	Mixture14	Mixture15	Mixture16	Mixture17	Mixture18	Mixture19	Mixture20	Mixture21	Mixture22	Mixture23	Mixture24	Mixture25	Mixture26	Mixture27	Mixture28	Mixture29	Mixture30	Mixture31	Mixture32	Mixture33	Mixture34	Mixture35	Mixture36	Mixture37	Mixture38	Mixture39	Mixture40	Mixture41	Mixture42	Mixture43	Mixture44	Mixture45	Mixture46	Mixture47	Mixture48	Mixture49	Mixture50	Mixture51	Mixture52	Mixture53	Mixture54	Mixture55	Mixture56	Mixture57	Mixture58	Mixture59	Mixture60	Mixture61	Mixture62	Mixture63	Mixture64	Mixture65	Mixture66	Mixture67	Mixture68	Mixture69	Mixture70	Mixture71	Mixture72	Mixture73	Mixture74	Mixture75	Mixture76	Mixture77	Mixture78	Mixture79	Mixture80	Mixture81	Mixture82	Mixture83	Mixture84	Mixture85	Mixture86	Mixture87	Mixture88	Mixture89	Mixture90	Mixture91	Mixture92	Mixture93	Mixture94	Mixture95	Mixture96	Mixture97	Mixture98	Mixture99	Mixture100
ENSG00000096384	4.6574	2.73585282943411	2.88262347530494	2.1502300460092	2.94081183763247	1.4174	3.0038	2.983	3.625474905019	3.5564	1.85742851429714	2.40828165633127	2.82796559311862	3.95659131826365	3.3668	2.8756	2.50809838032394	2.95679135827165	2.7288	3.58823529411765	2.60807838432314	2.45489097819564	2.71494298859772	1.39127825565113	2.9504	2.83183363327335	2.065	1.83436687337467	4.3372	2.87017403480696	4.62427514497101	2.49429885977195	2.84463107378524	2.37772445510898	2.6792	2.332	3.6877375475095	2.24904980996199	1.72765446910618	2.89302139572086	3.0068	1.3802	2.70545890821836	1.7012	1.68413682736547	2.93898779755951	1.9508	4.85197039407882	2.503	2.2386	1.6658	4.56391278255651	2.1506	1.8648	3.1496	3.67026594681064	2.395	3.582	2.09141828365673	2.88997799559912	3.3462	2.8877775555111	3.98119623924785	3.3124	2.7928	2.99700059988002	4.124	3.0476	1.89122175564887	2.403	2.17796440711858	1.7062	2.99780043991202	2.8664	2.61107778444311	4.0966	2.8834	3.01119776044791	2.72845430913817	1.6302	2.764	2.22404480896179	4.14537092581484	2.6338	3.20255948810238	1.7156	1.95340931813637	1.4946	4.101	2.2896	4.2108	3.15323064612923	2.45649129825965	2.435	2.92058411682336	2.2634	3.081	2.35252949410118	2.33233353329334	3.1512
ENSG00000105810	0.3746	0.192761447710458	0.206158768246351	0.189237847569514	0.220355928814237	0.1034	0.2374	0.2122	0.27754449110178	0.248	0.121775644871026	0.203840768153631	0.212642528505701	0.297659531906381	0.2748	0.2062	0.168366326734653	0.187837567513503	0.1988	0.251500600240096	0.18876224755049	0.175435087017403	0.250850170034007	0.0922184436887377	0.211	0.210357928414317	0.1584	0.11122224444889	0.388	0.163832766553311	0.374125174965007	0.182236447289458	0.2249550089982	0.197960407918416	0.1974	0.1744	0.273654730946189	0.120824164832967	0.114177164567087	0.201559688062388	0.2152	0.0782	0.194561087782444	0.0952	0.131426285257051	0.218443688737748	0.1252	0.367873574714943	0.208	0.1416	0.1074	0.370274054810962	0.1336	0.1464	0.2414	0.247150569886023	0.1536	0.2908	0.160232046409282	0.148829765953191	0.2528	0.211842368473695	0.303260652130426	0.2288	0.1854	0.226554689062188	0.2868	0.232	0.112977404519096	0.2036	0.15876824635073	0.1014	0.230753849230154	0.1968	0.211357728454309	0.2742	0.24	0.222155568886223	0.196160767846431	0.108	0.2002	0.165433086617323	0.317936412717456	0.1804	0.217756448710258	0.126	0.146170765846831	0.1136	0.3146	0.1484	0.3424	0.245649129825965	0.178035607121424	0.1486	0.236647329465893	0.161	0.2204	0.168566286742651	0.175564887022595	0.2344
ENSG00000111716	1.8744	1.06498700259948	1.04419116176765	0.80996199239848	1.16616676664667	0.5538	1.2102	1.1692	1.36012797440512	1.4472	0.665266946610678	0.995399079815963	1.00400080016003	1.56851370274055	1.3502	0.9992	0.925414917016597	1.18643728745749	1.1082	1.45198079231693	0.926014797040592	0.964592918583717	1.09641928385677	0.536507301460292	1.169	0.967406518696261	0.7374	0.645729145829166	1.7982	1.05521104220844	1.80623875224955	1.0124024804961	1.17636472705459	0.924615076984603	1.071	0.9474	1.49909981996399	0.857171434286857	0.693061387722456	1.15736852629474	1.1394	0.532	0.956808638272346	0.6342	0.609321864372875	1.16703340668134	0.741	1.90198039607922	0.9584	0.894	0.6798	2.03500700140028	0.7654	0.7508	1.289	1.34933013397321	0.981	1.4262	0.833166633326665	0.980996199239848	1.3258	1.06021204240848	1.62232446489298	1.307	1.0172	1.15176964607079	1.5676	1.2466	0.707258548290342	1.0374	0.836432713457309	0.66	1.16136772645471	1.1002	1.03559288142372	1.4704	1.0462	1.12357528494301	1.09398120375925	0.6312	1.0584	0.801360272054411	1.72085582883423	1.0138	1.2751449710058	0.7356	0.833833233353329	0.6174	1.4376	0.8304	1.5226	1.21924384876975	0.878375675135027	0.878	1.16323264652931	0.8994	1.2164	0.925814837032593	0.932213557288542	1.3316
ENSG00000124882	0.926	0.49870025994801	0.0137972405518896	0.285457091418284	0.775844831033793	0.4204	0.8116	0.4652	0.314937012597481	0.646	0.281743651269746	0.392278455691138	0.557311462292459	0.829165833166633	0.721	0.0238	0.358928214357129	0.455691138227646	0.6234	0.624449779911965	0.342131573685263	0.612322464492899	0.599519903980796	0.466893378675735	0.6424	0.304539092181564	0.332	0.64372874574915	0.8866	0.360272054410882	0.973405318936213	0.397279455891178	0.692861427714457	0.393921215756849	0.5858	0.5714	0.755951190238048	0.737747549509902	0.689462107578484	0.97880423915217	0.4982	0.3868	0.520695860827834	0.4718	0.0124024804960992	0.731146229245849	0.5452	0.990998199639928	0.6074	0.65	0.593	1.10902180436087	0.5098	0.475	0.781	0.480103979204159	0.4666	0.5088	0.682336467293459	0.0126025205041008	0.6366	0.54250850170034	0.836967393478696	0.5616	0.502	0.473105378924215	0.5794	0.813	0.248150369926015	0.4296	0.26994601079784	0.4852	0.417916416716657	0.6146	0.631873625274945	0.6324	0.4428	0.0157968406318736	0.376324735052989	0.7058	0.48	0.45749149829966	0.880423915216957	0.5772	0.844431113777245	0.6642	0.487702459508098	0.5634	0.0156	0.2362	0.6148	0.680336067213443	0.405881176235247	0.526	0.404080816163233	0.3206	0.4272	0.388122375524895	0.490301939612078	0.6796
ENSG00000135486	4.4798	2.63887222555489	1.97740451909618	1.92618523704741	2.98380323935213	1.5558	3.1412	2.7894	2.8870225954809	3.3804	1.81363727254549	2.21964392878576	2.74114822964593	4.07001400280056	3.2926	2.097	2.41111777644471	2.68833766753351	2.6318	3.468787515006	2.37172565486903	2.56711342268454	2.55791158231646	1.58091618323665	2.947	2.37392521495701	1.8826	2.14622924584917	4.2302	2.62592518503701	4.46390721855629	2.13362672534507	3.09838032393521	2.25654869026195	2.6224	2.177	3.42688537707542	2.6123224644929	2.05878824235153	3.1125774845031	2.8372	1.4946	2.37152569486103	1.9482	1.32246449289858	2.94278855771154	2.1574	4.93458691738348	2.3038	2.4616	1.9512	4.50050010002	2.061	1.8608	3.1516	3.09778044391122	2.3418	3.1022	2.20744148829766	2.14322864572915	3.2058	2.60512102420484	3.91998399679936	2.9864	2.7492	2.65886822635473	3.6938	3.1136	1.72305538892222	2.1518	1.99920015996801	1.9446	2.36712657468506	2.8678	2.66126774645071	3.7204	2.533	2.19516096780644	2.32433513297341	1.9288	2.6092	2.09321864372875	4.10457908418316	2.5384	3.51929614077185	2.2186	1.98980203959208	1.8682	2.8134	2.0904	3.4018	3.08621724344869	2.06181236247249	2.4732	2.39807961592318	1.819	2.7204	2.13457308538292	2.30093981203759	3.25
ENSG00000137309	1.3376	0.776844631073785	0.690461907618476	0.565913182636527	0.808638272345531	0.4012	0.7998	0.7362	1.02739452109578	1.0494	0.467906418716257	0.658331666333267	0.749749949989998	1.06541308261652	0.9976	0.6716	0.642871425714857	0.789157831566313	0.7264	1.02941176470588	0.620675864827035	0.670134026805361	0.771954390878176	0.370274054810962	0.8372	0.725454909018196	0.5768	0.488297659531906	1.2284	0.66753350670134	1.29734053189362	0.727145429085817	0.79124175164967	0.635272945410918	0.7186	0.6616	0.998399679935987	0.540708141628326	0.463107378524295	0.751849630073985	0.7732	0.3398	0.728454309138172	0.4284	0.403680736147229	0.827165433086617	0.505	1.30626125225045	0.7426	0.6304	0.4832	1.27565513102621	0.5386	0.4938	0.875	0.976804639072186	0.6718	0.8944	0.613522704540908	0.678535707141428	0.9018	0.733546709341868	1.11862372474495	0.8354	0.7072	0.815836832633473	1.0606	0.8672	0.545490901819636	0.6856	0.600879824035193	0.4326	0.846430713857229	0.7596	0.684463107378524	1.0122	0.7044	0.754649070185963	0.740451909618076	0.4438	0.6646	0.539707941588318	1.16396720655869	0.76	0.853229354129174	0.492	0.50629874025195	0.4478	0.9468	0.5872	1.1604	0.921584316863373	0.67993598719744	0.5998	0.834366873374675	0.66	0.87	0.578884223155369	0.632673465306939	0.958
ENSG00000110848	0.1758	0.206558688262348	0.202759448110378	0.10122024404881	0.118576284743051	0.1102	0.1572	0.158	0.0521895620875825	0.2144	0.170565886822635	0.110822164432887	0.154430886177235	0.262852570514103	0.1398	0.3052	0.217156568686263	0.205641128225645	0.1164	0.171068427370948	0.152369526094781	0.145829165833167	0.0760152030406081	0.130826165233047	0.199	0.16496700659868	0.074	0.195239047809562	0.1834	0.238047609521904	0.182763447310538	0.0322064412882576	0.162767446510698	0.109778044391122	0.1092	0.0596	0.204240848169634	0.248249649929986	0.147170565886823	0.17996400719856	0.2012	0.1906	0.180763847230554	0.2034	0.160632126425285	0.0924184836967393	0.187	0.365473094618924	0.0522	0.1484	0.1436	0.147629525905181	0.113	0.0894	0.1204	0.149370125974805	0.114	0.197	0.0484096819363873	0.24244848969794	0.1792	0.18123624724945	0.253650730146029	0.1858	0.2322	0.160367926414717	0.3024	0.124	0.128374325134973	0.0632	0.0815836832633473	0.1296	0.111177764447111	0.238	0.142171565686863	0.3044	0.122	0.199560087982404	0.107978404319136	0.147	0.1832	0.0850170034006801	0.234753049390122	0.0822	0.234553089382124	0.136	0.114377124575085	0.1142	0.2928	0.1744	0.0722	0.12002400480096	0.107621524304861	0.2228	0.0438087617523505	0.0504	0.1332	0.170165966806639	0.096380723855229	0.1458
ENSG00000165650	0.3098	0.482303539292142	0.355928814237153	0.412682536507301	0.369526094781044	0.456	0.3962	0.3978	0.340331933613277	0.2272	0.383323335332933	0.412682536507301	0.363472694538908	0.290658131626325	0.4918	0.3278	0.424315136972605	0.323264652930586	0.3702	0.360744297719088	0.456708658268346	0.335067013402681	0.457291458291658	0.381476295259052	0.4748	0.430513897220556	0.406	0.374674934986997	0.4856	0.304260852170434	0.336132773445311	0.392078415683137	0.350329934013197	0.42751449710058	0.4254	0.4242	0.368473694738948	0.364672934586917	0.349130173965207	0.370125974805039	0.4054	0.4246	0.436312737452509	0.361	0.421884376875375	0.406681336267253	0.3636	0.368073614722945	0.4996	0.3342	0.4192	0.383876775355071	0.3888	0.3776	0.4298	0.436512697460508	0.3382	0.5148	0.384076815363073	0.300260052010402	0.3926	0.3374674934987	0.372074414882977	0.3648	0.4074	0.516096780643871	0.2308	0.4366	0.394521095780844	0.389	0.392321535692861	0.3856	0.492901419716057	0.3548	0.413117376524695	0.278	0.3502	0.291141771645671	0.485702859428114	0.3976	0.364	0.376875375075015	0.441111777644471	0.4444	0.386122775444911	0.467	0.401719656068786	0.3498	0.2958	0.4022	0.3864	0.376475295059012	0.381076215243049	0.3794	0.385077015403081	0.453	0.4188	0.39752049590082	0.39252149570086	0.3784
ENSG00000113269	2.369	1.93601279744051	0.711457708458308	1.31326265253051	2.12897420515897	1.832	2.2036	1.59	1.30513897220556	1.5204	1.26654669066187	1.71894378875775	1.80436087217443	2.28685737147429	2.4764	0.5738	1.54749050189962	1.34526905381076	1.7774	1.97398959583834	1.51109778044391	1.89397879575915	1.85757151430286	1.63232646529306	2.1918	1.42171565686863	1.527	1.9879975995199	2.7276	1.27825565113023	2.50529894021196	1.62312462492499	2.19016196760648	1.64067186562687	2.0544	1.9228	1.85437087417484	2.05241048209642	1.97120575884823	2.37192561487702	1.813	1.423	1.5750849830034	1.5808	0.965393078615723	2.04140828165633	1.6596	2.31146229245849	2.0932	1.8998	1.9726	2.66773354670934	1.7474	1.6566	2.291	1.77564487102579	1.629	1.8176	2.0620124024805	0.588317663532707	1.9678	1.62432486497299	2.00200040008002	1.768	1.6808	1.82703459308138	1.4348	2.295	1.30433913217357	1.7102	1.39612077584483	1.8384	1.58408318336333	1.7436	1.94141171765647	1.6612	1.5512	0.551089782043591	1.64087182563487	1.9596	1.7162	1.55891178235647	2.41731653669266	1.993	2.31873625274945	2.1948	1.6372725454909	1.7852	0.5838	1.2356	1.772	2.05081016203241	1.44828965793159	1.6228	1.57871574314863	1.4282	1.645	1.44251149770046	1.71725654869026	2.0874
ENSG00000187514	26.691	16.5886822635473	12.7998400319936	11.6743348669734	16.9088182363527	8.5168	18.2948	16.3116	18.5546890621876	20.552	10.5110977804439	13.0566113222645	15.7289457891578	23.6371274254851	19.6878	12.713	14.3305338932214	16.1654330866173	15.7214	20.4041616646659	14.3467306538692	14.5251050210042	16.4252850570114	8.47269453890778	17.1606	14.5386922615477	11.0006	11.497699539908	25.5088	14.8957791558312	26.0559888022396	13.0152030406081	17.4391121775645	13.4691061787642	14.9626	13.1808	21.0108021604321	13.8501700340068	11.5460907818436	17.631073785243	16.5588	8.8442	13.8470305938812	10.3024	7.99419883976795	17.50350070014	11.0524	28.1492298459692	13.7994	13.952	10.3834	27.5417083416683	11.5878	10.7544	18.362	19.2591481703659	13.5308	19.3202	12.9777955591118	13.2244448889778	19.306	15.7783556711342	23.627125425085	17.6142	16.026	16.0709858028394	22.8768	18.3312	9.78004399120176	13.6244	11.8610277944411	10.3444	15.1895620875825	16.2658	15.1105778844231	21.867	14.3926	13.376324735053	15.0345930813837	10.6328	15.5996	12.0592118423685	24.5308938212358	15.6762	19.1759648070386	12.0916	11.25574885023	10.1568	18.894	12.3436	22.2398	18.0598119623925	12.1714342868574	14.378	15.1952390478096	11.9972	16.994	12.869626074785	14.0401919616077	18.3488
