erythrocyte	classical_monocyte	neutrophil	memory_B_cell	plasma_cell	platelet
ENSG00000096384	0.323	3.768	0.199174406604747	7.53974895397489	48.1914893617021	2.98
ENSG00000105810	0.007	0.244	0.0732714138286894	0.117154811715481	3.17446808510638	0.35
ENSG00000111716	0.042	1.144	0.0588235294117647	1.43096234309623	12.8255319148936	1.96
ENSG00000124882	0.006	1.13	0.0185758513931889	0	0.114893617021277	0.1
ENSG00000135486	0.12	5.058	0.409700722394221	5.48117154811716	25.2595744680851	2.69
ENSG00000137309	0.031	0.787	0.0949432404540764	0.669456066945607	10.1914893617021	0.86
ENSG00000110848	0.094	0.159	0.0505675954592363	3.79916317991632	1.01702127659574	1.19
ENSG00000165650	0.066	0.618	0.651186790505676	0.213389121338912	1.05957446808511	0.47
ENSG00000113269	0.025	3.172	0.64499484004128	0.242677824267782	0.306382978723404	0.42
ENSG00000187514	0.697	26.977	2.52941176470588	30.0334728033473	187.621276595745	18.58
ENSG00000178035	0.011	0.182	0.0278637770897833	0.497907949790795	2.92765957446808	0.46
ENSG00000004468	0.007	0.117	0.0350877192982456	0.0920502092050209	6.23404255319149	0.01
ENSG00000183011	0.072	1.688	0.436532507739938	0.652719665271967	6.27234042553192	3.65
ENSG00000167088	0.017	0.705	0.0959752321981424	0.887029288702929	8.90212765957447	0.44
ENSG00000125691	0.2	15.945	1.60681114551084	18.0836820083682	41.6893617021277	3.24
ENSG00000112096	0.24	3.502	2.97420020639835	0.531380753138075	1.82127659574468	4.96
ENSG00000197756	0.551	20.202	1.81940144478844	24.4100418410042	73.8765957446809	7.61
ENSG00000103202	0.133	0.213	0.043343653250774	0.188284518828452	0.370212765957447	0.89
ENSG00000171863	0.541	17.064	2.17750257997936	27.928870292887	81.936170212766	6.42
ENSG00000138385	0.027	1.19	0.102167182662539	1.0836820083682	7.6468085106383	0.73
ENSG00000156052	0.024	1.708	0.879256965944272	0.0920502092050209	0.136170212765957	1.84
ENSG00000189403	0.276	6.889	2.45201238390093	5.45606694560669	63.8553191489362	9.62
ENSG00000132792	0.03	0.505	0.0794633642930857	0.472803347280335	1.55744680851064	0.25
ENSG00000130726	0.015	0.298	0.0722394220846233	0.338912133891213	3.23829787234043	0.22
ENSG00000139343	0.019	0.664	0.109391124871001	0.899581589958159	8.05957446808511	0.37
ENSG00000126088	0.384	0.331	0.0722394220846233	0.196652719665272	1.08085106382979	0.63
ENSG00000159216	0.009	1.145	0.178534571723426	0.171548117154812	0.48936170212766	0.25
ENSG00000182774	0.118	1.687	0.191950464396285	2.60251046025105	9.51489361702128	0.71
ENSG00000111142	0.02	0.988	0.0825593395252838	0.715481171548117	5.3531914893617	0.41
ENSG00000122705	0.038	2.705	0.321981424148607	0.635983263598326	5.49787234042553	1.01
ENSG00000156411	0.192	4.71	1.43446852425181	1.42677824267782	12.0936170212766	2.79
ENSG00000166441	0.496	13.185	1.65325077399381	25.3891213389121	62.8425531914894	5.11
ENSG00000114120	0.009	0.708	0.117647058823529	0.769874476987448	2.5063829787234	0.18
ENSG00000064115	0.005	0.233	0.0939112487100103	0.209205020920502	0.842553191489362	0.43
ENSG00000169813	0.052	1.435	0.257997936016512	0.912133891213389	7.37872340425532	0.85
ENSG00000147274	0.032	1.396	0.240454076367389	1.72803347280335	5.8936170212766	0.5
ENSG00000162852	0.03	0.281	0.0918472652218782	0.623430962343096	0.723404255319149	5.86
ENSG00000213465	0.023	0.227	0.0515995872033024	0.322175732217573	0.723404255319149	0.51
ENSG00000047410	0.045	1.724	0.511867905056759	2.41422594142259	8.47234042553191	0.33
ENSG00000166669	0.015	0.23	0.0288957688338493	0.887029288702929	1.76595744680851	0.08
ENSG00000163322	0.009	0.236	0.0309597523219814	0.234309623430962	0.161702127659574	0.09
ENSG00000156587	0.045	0.441	0.0392156862745098	0.359832635983264	1.11489361702128	0.11
ENSG00000123975	0.015	0.101	0.0485036119711042	0.117154811715481	3.40851063829787	0.32
ENSG00000149600	0.014	0.587	0.0670794633642931	0.305439330543933	1.43404255319149	0.93
ENSG00000233355	0.002	0.002	0.00206398348813209	0.0209205020920502	0.00851063829787234	0.06
ENSG00000117691	0.034	0.447	0.0515995872033024	0.384937238493724	2.06382978723404	1.57
ENSG00000080345	0.007	0.677	0.26625386996904	0.702928870292887	4.11914893617021	0.14
ENSG00000105176	0.013	0.58	0.0681114551083591	0.815899581589958	3.00425531914894	0.25
ENSG00000185344	0.005	0.167	0.0330237358101135	0.238493723849372	0.685106382978723	0.09
ENSG00000122566	0.203	8.117	1.84726522187823	6.78242677824268	40.2765957446809	4.49
ENSG00000070214	0.025	0.624	0.170278637770898	0.154811715481172	2.07234042553192	2.06
ENSG00000126561	0.012	0.503	0.086687306501548	0.167364016736402	0.238297872340426	0.19
ENSG00000125821	0.007	0.163	0.0412796697626419	0.192468619246862	0.961702127659574	0.33
ENSG00000142168	0.74	1.095	0.0959752321981424	1.58577405857741	7.31914893617021	1.89
ENSG00000198673	0.002	0.082	0.0629514963880289	0.0167364016736402	0.0638297872340425	0.02
ENSG00000137815	0.025	1.093	0.299277605779154	1.07949790794979	4.4936170212766	0.33
