cell_type	gene
classical_monocyte	ENSG00000090382
classical_monocyte	ENSG00000038427
classical_monocyte	ENSG00000163563
classical_monocyte	ENSG00000137801
classical_monocyte	ENSG00000110077
classical_monocyte	ENSG00000197956
classical_monocyte	ENSG00000100097
classical_monocyte	ENSG00000177575
classical_monocyte	ENSG00000121316
classical_monocyte	ENSG00000196154
classical_monocyte	ENSG00000178695
classical_monocyte	ENSG00000197747
classical_monocyte	ENSG00000030582
classical_monocyte	ENSG00000169385
classical_monocyte	ENSG00000257764
classical_monocyte	ENSG00000121552
classical_monocyte	ENSG00000170458
classical_monocyte	ENSG00000245532
classical_monocyte	ENSG00000117984
classical_monocyte	ENSG00000131981
classical_monocyte	ENSG00000111275
classical_monocyte	ENSG00000185862
classical_monocyte	ENSG00000164125
classical_monocyte	ENSG00000111144
classical_monocyte	ENSG00000188906
classical_monocyte	ENSG00000140749
classical_monocyte	ENSG00000135218
classical_monocyte	ENSG00000188641
classical_monocyte	ENSG00000007237
classical_monocyte	ENSG00000249437
classical_monocyte	ENSG00000106066
classical_monocyte	ENSG00000125810
classical_monocyte	ENSG00000035862
classical_monocyte	ENSG00000169413
classical_monocyte	ENSG00000120594
classical_monocyte	ENSG00000162704
classical_monocyte	ENSG00000180776
classical_monocyte	ENSG00000162511
classical_monocyte	ENSG00000135655
classical_monocyte	ENSG00000187164
classical_monocyte	ENSG00000123384
classical_monocyte	ENSG00000008394
classical_monocyte	ENSG00000166340
classical_monocyte	ENSG00000072401
classical_monocyte	ENSG00000126860
classical_monocyte	ENSG00000276107
classical_monocyte	ENSG00000141505
classical_monocyte	ENSG00000087116
classical_monocyte	ENSG00000106546
classical_monocyte	ENSG00000114573
classical_monocyte	ENSG00000159128
erythrocyte	ENSG00000244734
erythrocyte	ENSG00000206172
erythrocyte	ENSG00000188536
erythrocyte	ENSG00000158578
erythrocyte	ENSG00000147454
erythrocyte	ENSG00000133742
erythrocyte	ENSG00000013306
erythrocyte	ENSG00000145335
erythrocyte	ENSG00000169877
erythrocyte	ENSG00000182512
erythrocyte	ENSG00000104765
erythrocyte	ENSG00000223609
erythrocyte	ENSG00000137198
erythrocyte	ENSG00000170315
erythrocyte	ENSG00000124098
erythrocyte	ENSG00000136732
erythrocyte	ENSG00000060138
erythrocyte	ENSG00000172331
erythrocyte	ENSG00000206177
erythrocyte	ENSG00000022840
erythrocyte	ENSG00000119950
erythrocyte	ENSG00000103342
erythrocyte	ENSG00000159346
erythrocyte	ENSG00000143774
erythrocyte	ENSG00000105701
erythrocyte	ENSG00000133606
erythrocyte	ENSG00000143416
erythrocyte	ENSG00000090013
erythrocyte	ENSG00000162722
erythrocyte	ENSG00000198876
erythrocyte	ENSG00000158856
erythrocyte	ENSG00000100225
erythrocyte	ENSG00000162366
erythrocyte	ENSG00000082146
erythrocyte	ENSG00000063854
erythrocyte	ENSG00000171552
erythrocyte	ENSG00000198858
erythrocyte	ENSG00000132819
erythrocyte	ENSG00000086506
erythrocyte	ENSG00000101782
erythrocyte	ENSG00000159023
erythrocyte	ENSG00000136819
erythrocyte	ENSG00000034152
erythrocyte	ENSG00000008441
erythrocyte	ENSG00000066926
erythrocyte	ENSG00000165406
erythrocyte	ENSG00000090238
erythrocyte	ENSG00000034713
erythrocyte	ENSG00000167768
erythrocyte	ENSG00000004939
erythrocyte	ENSG00000235169
erythrocyte	ENSG00000172270
erythrocyte	ENSG00000166947
erythrocyte	ENSG00000181788
erythrocyte	ENSG00000107262
erythrocyte	ENSG00000114784
erythrocyte	ENSG00000099804
erythrocyte	ENSG00000266412
erythrocyte	ENSG00000111666
erythrocyte	ENSG00000186591
erythrocyte	ENSG00000135070
erythrocyte	ENSG00000108309
erythrocyte	ENSG00000060237
erythrocyte	ENSG00000133816
erythrocyte	ENSG00000150867
erythrocyte	ENSG00000167671
erythrocyte	ENSG00000158828
erythrocyte	ENSG00000168785
erythrocyte	ENSG00000136908
erythrocyte	ENSG00000198336
erythrocyte	ENSG00000184792
erythrocyte	ENSG00000076770
erythrocyte	ENSG00000250361
erythrocyte	ENSG00000123240
erythrocyte	ENSG00000243064
erythrocyte	ENSG00000224177
erythrocyte	ENSG00000133193
erythrocyte	ENSG00000119636
erythrocyte	ENSG00000180667
erythrocyte	ENSG00000166046
erythrocyte	ENSG00000166946
erythrocyte	ENSG00000141469
erythrocyte	ENSG00000196998
erythrocyte	ENSG00000100325
erythrocyte	ENSG00000112146
erythrocyte	ENSG00000137267
erythrocyte	ENSG00000136842
erythrocyte	ENSG00000164849
erythrocyte	ENSG00000103148
erythrocyte	ENSG00000057757
erythrocyte	ENSG00000049759
memory_B_cell	ENSG00000156738
memory_B_cell	ENSG00000153064
memory_B_cell	ENSG00000116191
memory_B_cell	ENSG00000227507
memory_B_cell	ENSG00000179344
memory_B_cell	ENSG00000136573
