cell_type	gene
conjunctival_epithelial_cell	ENSG00000165272
conjunctival_epithelial_cell	ENSG00000171345
conjunctival_epithelial_cell	ENSG00000163191
conjunctival_epithelial_cell	ENSG00000128422
conjunctival_epithelial_cell	ENSG00000117525
conjunctival_epithelial_cell	ENSG00000111057
conjunctival_epithelial_cell	ENSG00000006327
conjunctival_epithelial_cell	ENSG00000163993
conjunctival_epithelial_cell	ENSG00000255112
conjunctival_epithelial_cell	ENSG00000124145
conjunctival_epithelial_cell	ENSG00000165732
conjunctival_epithelial_cell	ENSG00000141543
corneal_epithelial_cell	ENSG00000187242
corneal_epithelial_cell	ENSG00000148671
corneal_epithelial_cell	ENSG00000186081
corneal_epithelial_cell	ENSG00000184292
corneal_epithelial_cell	ENSG00000112378
corneal_epithelial_cell	ENSG00000189143
corneal_epithelial_cell	ENSG00000120708
corneal_epithelial_cell	ENSG00000108602
corneal_epithelial_cell	ENSG00000124466
corneal_epithelial_cell	ENSG00000186442
corneal_epithelial_cell	ENSG00000120885
corneal_epithelial_cell	ENSG00000164687
corneal_epithelial_cell	ENSG00000181019
corneal_epithelial_cell	ENSG00000196154
corneal_epithelial_cell	ENSG00000096696
corneal_epithelial_cell	ENSG00000163931
corneal_epithelial_cell	ENSG00000163347
corneal_epithelial_cell	ENSG00000128383
corneal_epithelial_cell	ENSG00000134531
corneal_epithelial_cell	ENSG00000074800
corneal_epithelial_cell	ENSG00000092820
corneal_epithelial_cell	ENSG00000147676
corneal_epithelial_cell	ENSG00000136943
corneal_epithelial_cell	ENSG00000181649
corneal_epithelial_cell	ENSG00000114638
corneal_epithelial_cell	ENSG00000131981
corneal_epithelial_cell	ENSG00000134760
corneal_epithelial_cell	ENSG00000165092
corneal_epithelial_cell	ENSG00000197956
corneal_epithelial_cell	ENSG00000167644
corneal_epithelial_cell	ENSG00000206075
corneal_epithelial_cell	ENSG00000134755
corneal_epithelial_cell	ENSG00000163435
corneal_epithelial_cell	ENSG00000163331
corneal_epithelial_cell	ENSG00000182718
corneal_epithelial_cell	ENSG00000181885
corneal_epithelial_cell	ENSG00000137463
corneal_epithelial_cell	ENSG00000095713
corneal_epithelial_cell	ENSG00000010278
corneal_epithelial_cell	ENSG00000177459
corneal_epithelial_cell	ENSG00000115884
corneal_epithelial_cell	ENSG00000084207
corneal_epithelial_cell	ENSG00000144136
corneal_epithelial_cell	ENSG00000136810
corneal_epithelial_cell	ENSG00000132002
corneal_epithelial_cell	ENSG00000181467
corneal_epithelial_cell	ENSG00000167642
corneal_epithelial_cell	ENSG00000130066
corneal_epithelial_cell	ENSG00000137699
corneal_epithelial_cell	ENSG00000106541
corneal_epithelial_cell	ENSG00000235162
corneal_epithelial_cell	ENSG00000119862
corneal_epithelial_cell	ENSG00000136688
corneal_epithelial_cell	ENSG00000172005
corneal_epithelial_cell	ENSG00000141682
corneal_epithelial_cell	ENSG00000115963
corneal_epithelial_cell	ENSG00000013588
corneal_epithelial_cell	ENSG00000147689
corneal_epithelial_cell	ENSG00000198363
corneal_epithelial_cell	ENSG00000125534
corneal_epithelial_cell	ENSG00000126432
corneal_epithelial_cell	ENSG00000117595
corneal_epithelial_cell	ENSG00000168255
corneal_epithelial_cell	ENSG00000109846
corneal_epithelial_cell	ENSG00000135378
corneal_epithelial_cell	ENSG00000136826
corneal_epithelial_cell	ENSG00000178363
corneal_epithelial_cell	ENSG00000162545
corneal_epithelial_cell	ENSG00000165474
corneal_epithelial_cell	ENSG00000150782
corneal_epithelial_cell	ENSG00000130600
corneal_epithelial_cell	ENSG00000134333
corneal_epithelial_cell	ENSG00000184009
corneal_epithelial_cell	ENSG00000153113
corneal_epithelial_cell	ENSG00000099968
corneal_epithelial_cell	ENSG00000172818
corneal_epithelial_cell	ENSG00000176597
corneal_epithelial_cell	ENSG00000243147
corneal_epithelial_cell	ENSG00000215845
