conjunctival_epithelial_cell	eye_photoreceptor_cell	Muller_cell	retinal_blood_vessel_endothelial_cell	keratocyte	corneal_epithelial_cell	melanocyte
ENSG00000165272	55.93	0.360861759425494	0.473684210526316	0.318181818181818	0.391608391608392	11.6279069767442	0.406779661016949
ENSG00000171345	85.415	0.51705565529623	0.912280701754386	0.636363636363636	0.909090909090909	9.58139534883721	0.76271186440678
ENSG00000163191	150.907	1.55296229802513	2.84210526315789	6.40909090909091	15.006993006993	75.7906976744186	7.54237288135593
ENSG00000128422	40.057	0.359066427289048	0.736842105263158	0.727272727272727	0.48951048951049	7.58139534883721	0.813559322033898
ENSG00000117525	19.933	0.197486535008977	1.94736842105263	0.0454545454545455	1.77622377622378	2.04651162790698	0.813559322033898
ENSG00000111057	13.015	0.0987432675044883	0.192982456140351	0.272727272727273	0.664335664335664	7.83720930232558	0.186440677966102
ENSG00000006327	9.263	0.111310592459605	0.684210526315789	0.363636363636364	0.398601398601399	6.6046511627907	2.83050847457627
ENSG00000163993	17.159	0.131059245960503	0.245614035087719	0.272727272727273	2.55244755244755	3.2093023255814	0.254237288135593
ENSG00000255112	8.376	0.310592459605027	0.578947368421053	0.409090909090909	3.62237762237762	5.76744186046512	1.50847457627119
ENSG00000124145	5.697	0.44524236983842	0.368421052631579	0.136363636363636	0.342657342657343	5.81395348837209	0.627118644067797
ENSG00000165732	8.63	0.344703770197487	0.596491228070175	4.5	1.24475524475524	5.23255813953488	2.1864406779661
ENSG00000141543	6.825	0.529622980251346	0.701754385964912	0.681818181818182	1.35664335664336	6.13953488372093	2.11864406779661
ENSG00000187242	7.55	0.123877917414722	0.105263157894737	0.272727272727273	0.160839160839161	560.162790697674	0.152542372881356
ENSG00000148671	45.133	0.703770197486535	4.73684210526316	15.7272727272727	15.8041958041958	348.581395348837	0.847457627118644
ENSG00000186081	92.31	0.583482944344704	0.842105263157895	0.545454545454545	0.93006993006993	190.604651162791	0.864406779661017
ENSG00000184292	53.146	0.524236983842011	0.87719298245614	0.681818181818182	0.573426573426573	125.53488372093	0.525423728813559
ENSG00000112378	59.52	0.757630161579892	1.10526315789474	1.5	1.93706293706294	112.139534883721	0.525423728813559
ENSG00000189143	48.48	0.500897666068223	1	0.454545454545455	0.797202797202797	119.372093023256	0.661016949152542
ENSG00000120708	2.488	0.0287253141831239	0.0526315789473684	0.0909090909090909	0.734265734265734	59.4186046511628	0.186440677966102
ENSG00000108602	26.999	0.186714542190305	0.228070175438596	0.363636363636364	0.265734265734266	90.8139534883721	0.186440677966102
ENSG00000124466	19.232	0.179533213644524	0.280701754385965	0.181818181818182	0.237762237762238	65.3488372093023	0.169491525423729
ENSG00000186442	1.976	0.0233393177737881	0.105263157894737	0.0909090909090909	0.027972027972028	71.7441860465116	0.0847457627118644
ENSG00000120885	119.142	1.36983842010772	55.1228070175439	10.7272727272727	51.5944055944056	348.348837209302	2.5593220338983
ENSG00000164687	156.714	1.27827648114901	4.56140350877193	4.45454545454545	9.54545454545454	182.232558139535	2.35593220338983
ENSG00000181019	4.868	0.199281867145422	0.228070175438596	0.545454545454545	2.53846153846154	51.8372093023256	0.203389830508475
ENSG00000196154	143.555	1.19748653500898	2.33333333333333	1.13636363636364	14.4475524475524	305.604651162791	2
ENSG00000096696	26.083	0.529622980251346	0.614035087719298	0.681818181818182	0.503496503496504	52	0.11864406779661
ENSG00000163931	5.933	0.29802513464991	0.824561403508772	0.454545454545455	2.20979020979021	45.4651162790698	2
ENSG00000163347	18.863	0.120287253141831	0.175438596491228	0.181818181818182	0.111888111888112	54	0.0847457627118644
ENSG00000128383	23.112	0.168761220825853	0.263157894736842	0.363636363636364	0.13986013986014	65.2325581395349	0.101694915254237
ENSG00000134531	25.334	0.149012567324955	0.280701754385965	10.5	4.37762237762238	73.7674418604651	15.0677966101695
ENSG00000074800	19.782	1.26391382405745	10.5614035087719	3.18181818181818	5.02097902097902	87.6511627906977	2.47457627118644
ENSG00000092820	29.667	0.287253141831239	0.614035087719298	0.318181818181818	1.51748251748252	59	1.89830508474576
ENSG00000147676	4.493	0.052064631956912	0.087719298245614	0	0.0839160839160839	26.5348837209302	0.0508474576271186
ENSG00000136943	1.541	0.628366247755835	0.43859649122807	0.0454545454545455	0.027972027972028	32.4186046511628	0.0677966101694915
ENSG00000181649	52.9	0.47935368043088	0.842105263157895	0.681818181818182	1.32167832167832	59.8604651162791	1.33898305084746
ENSG00000114638	4.563	0.0412926391382406	0.0175438596491228	0.0454545454545455	0.377622377622378	19.953488372093	0.0169491525423729
ENSG00000131981	22.247	0.170556552962298	2.14035087719298	3.22727272727273	7.0979020979021	51.3953488372093	7.11864406779661
ENSG00000134760	2.658	0.0125673249551167	0.0175438596491228	0	0.00699300699300699	17	0
ENSG00000165092	5.003	0.0466786355475763	0.12280701754386	0.0909090909090909	0.762237762237762	24.0232558139535	1.69491525423729
ENSG00000197956	196.11	1.50628366247756	5.47368421052632	16.5	44.6783216783217	262.139534883721	11.7627118644068
ENSG00000167644	13.861	0.0933572710951526	0.087719298245614	0.0909090909090909	1.74125874125874	21.1860465116279	0.169491525423729
ENSG00000206075	9.976	0.0736086175942549	0.175438596491228	0.0454545454545455	0.0629370629370629	21.9302325581395	0.186440677966102
ENSG00000134755	11.351	0.0466786355475763	0.157894736842105	0.0909090909090909	0.0839160839160839	27.8372093023256	0.0338983050847458
ENSG00000163435	9.63	0.125673249551167	0.12280701754386	0.0454545454545455	0.20979020979021	19.1627906976744	0.0677966101694915
ENSG00000163331	2.816	0.278276481149013	11.7719298245614	0.181818181818182	0.356643356643357	23.2790697674419	0.101694915254237
ENSG00000182718	53.729	0.497307001795332	1.3859649122807	6.22727272727273	12.1678321678322	77.0697674418605	9.20338983050847
ENSG00000181885	9.432	0.105924596050269	0.245614035087719	0.181818181818182	0.181818181818182	20.3255813953488	0.203389830508475
ENSG00000137463	0.441	0.0807899461400359	4.33333333333333	0.0454545454545455	0.0909090909090909	24.2558139534884	0.0338983050847458
ENSG00000095713	0.817	0.00718132854578097	0.140350877192982	0.318181818181818	0.013986013986014	17.2558139534884	2.61016949152542
ENSG00000010278	23.546	0.170556552962298	2.50877192982456	3.04545454545455	4.41958041958042	38.4883720930233	1.83050847457627
ENSG00000177459	1.634	0.0269299820466786	0.263157894736842	0.0454545454545455	0.00699300699300699	15.093023255814	0.0169491525423729
ENSG00000115884	7.524	0.0628366247755835	0.140350877192982	0.181818181818182	0.181818181818182	18.2325581395349	0.0847457627118644
ENSG00000084207	58.187	6.18491921005386	10.9122807017544	2.59090909090909	10.8321678321678	104.837209302326	12.0169491525424
ENSG00000144136	5.924	0.398563734290844	0.543859649122807	2.04545454545455	0.629370629370629	32.2558139534884	0.440677966101695
ENSG00000136810	58.6	0.974865350089767	2.07017543859649	5.09090909090909	7	71.0697674418605	4.11864406779661
ENSG00000132002	37.446	0.955116696588869	2.43859649122807	7.13636363636364	7.72027972027972	65.9069767441861	11.6271186440678
ENSG00000181467	7.774	0.0754039497307002	0.175438596491228	0.227272727272727	0.307692307692308	26	1.42372881355932
ENSG00000167642	10.177	0.29443447037702	1.75438596491228	0.0454545454545455	3.62937062937063	18	0.338983050847458
ENSG00000130066	91.382	1.0951526032316	3.84210526315789	15.6363636363636	6.06993006993007	125.395348837209	23.5593220338983
ENSG00000137699	9.746	0.0771992818671454	0.157894736842105	0.136363636363636	0.0839160839160839	14.3720930232558	0.0508474576271186
ENSG00000106541	10.342	0.0736086175942549	0.087719298245614	0.136363636363636	0.0769230769230769	24.7209302325581	0.101694915254237
ENSG00000235162	0.984	0.0107719928186715	0.228070175438596	0	0.202797202797203	13.2790697674419	0.0338983050847458
ENSG00000119862	2.146	2.39317773788151	2.40350877192982	0.363636363636364	0.391608391608392	21.3023255813953	0.220338983050847
ENSG00000136688	2.893	0.0233393177737881	0.0350877192982456	0.0454545454545455	0.020979020979021	37.6511627906977	0.0169491525423729
ENSG00000172005	0.511	0.0215439856373429	0.280701754385965	0	0.00699300699300699	13.1627906976744	0.338983050847458
ENSG00000141682	16.465	0.100538599640934	0.192982456140351	0.545454545454545	0.13986013986014	23.0232558139535	0.186440677966102
ENSG00000115963	9.658	0.0448833034111311	0.245614035087719	0.454545454545455	3.55244755244755	25.1395348837209	2.03389830508475
ENSG00000013588	12.154	0.0897666068222621	0.140350877192982	0.363636363636364	2.31468531468531	23.6976744186047	4.8135593220339
ENSG00000147689	7.876	0.0377019748653501	0.12280701754386	0.181818181818182	0.0559440559440559	12.6744186046512	0.135593220338983
ENSG00000198363	5.897	1.72351885098743	3.94736842105263	1.77272727272727	3.11888111888112	18.6744186046512	0.915254237288136
ENSG00000125534	15.332	1.09335727109515	3.54385964912281	1.54545454545455	4.87412587412587	29.3255813953488	5.20338983050847
ENSG00000126432	14.351	1.70736086175943	4.28070175438596	0.863636363636364	3.47552447552448	29.6976744186047	3.32203389830508
ENSG00000117595	6.721	0.0718132854578097	0.12280701754386	0.136363636363636	0.034965034965035	12.6279069767442	0.0847457627118644
ENSG00000168255	7.421	0.0861759425493716	0.12280701754386	0.0454545454545455	0.0699300699300699	10.5813953488372	0.0847457627118644
ENSG00000109846	33.596	0.829443447037702	17.4736842105263	0.772727272727273	9.77622377622378	69.5116279069767	39.6440677966102
ENSG00000135378	6.491	0.0305206463195691	0.0526315789473684	0.272727272727273	0.0979020979020979	11.7906976744186	0.11864406779661
ENSG00000136826	7.568	0.0502692998204668	0.105263157894737	1.54545454545455	4.06293706293706	19.8372093023256	0.949152542372881
ENSG00000178363	5.067	0.0610412926391382	0.0701754385964912	0	0.0699300699300699	9.37209302325581	0.0169491525423729
ENSG00000162545	1.429	0.22262118491921	1.40350877192982	0.0454545454545455	1.28671328671329	14.5348837209302	0.372881355932203
ENSG00000165474	3.862	0.0377019748653501	0.0701754385964912	0.0454545454545455	0.454545454545455	9.55813953488372	1.01694915254237
ENSG00000150782	2.862	0.321364452423698	0.228070175438596	0	0.552447552447552	14.093023255814	0.0508474576271186
ENSG00000130600	1.786	0.0269299820466786	0.0526315789473684	0	1.22377622377622	14.7906976744186	0
ENSG00000134333	14.727	3.40754039497307	6.14035087719298	4.90909090909091	4.7972027972028	36.8837209302326	10.4067796610169
ENSG00000184009	91.532	5.04847396768402	14.7894736842105	13.5454545454545	22.2867132867133	123.232558139535	41.8474576271186
ENSG00000153113	15.275	0.195691202872531	0.614035087719298	2.72727272727273	2.88811188811189	28.1627906976744	4.94915254237288
ENSG00000099968	1.219	0.350089766606822	0.666666666666667	0.272727272727273	0.328671328671329	12.5116279069767	1.11864406779661
ENSG00000172818	2.285	0.0251346499102334	0.0526315789473684	0	0.00699300699300699	11.3953488372093	0.203389830508475
ENSG00000176597	4.223	0.116696588868941	0.087719298245614	0.363636363636364	0.13986013986014	14.7441860465116	0.152542372881356
ENSG00000243147	3.693	1.20287253141831	3	1.68181818181818	1.99300699300699	19.9302325581395	2.49152542372881
ENSG00000215845	4.565	0.506283662477558	1.12280701754386	0.136363636363636	0.384615384615385	10.3023255813953	0.152542372881356
