cell_type	gene
endothelial_cell	ENSG00000165949
endothelial_cell	ENSG00000170323
endothelial_cell	ENSG00000110799
endothelial_cell	ENSG00000164687
endothelial_cell	ENSG00000261371
endothelial_cell	ENSG00000135218
endothelial_cell	ENSG00000184113
endothelial_cell	ENSG00000169908
endothelial_cell	ENSG00000162618
endothelial_cell	ENSG00000065054
endothelial_cell	ENSG00000130300
endothelial_cell	ENSG00000184557
endothelial_cell	ENSG00000102755
endothelial_cell	ENSG00000196628
endothelial_cell	ENSG00000116016
endothelial_cell	ENSG00000107281
endothelial_cell	ENSG00000162444
endothelial_cell	ENSG00000113594
endothelial_cell	ENSG00000163638
endothelial_cell	ENSG00000127920
endothelial_cell	ENSG00000134531
endothelial_cell	ENSG00000176435
endothelial_cell	ENSG00000168497
endothelial_cell	ENSG00000267107
endothelial_cell	ENSG00000085063
endothelial_cell	ENSG00000099260
endothelial_cell	ENSG00000115306
endothelial_cell	ENSG00000125266
endothelial_cell	ENSG00000127329
endothelial_cell	ENSG00000205502
endothelial_cell	ENSG00000068001
endothelial_cell	ENSG00000213088
endothelial_cell	ENSG00000178726
endothelial_cell	ENSG00000106991
endothelial_cell	ENSG00000091409
endothelial_cell	ENSG00000125810
endothelial_cell	ENSG00000164035
endothelial_cell	ENSG00000203883
endothelial_cell	ENSG00000165810
endothelial_cell	ENSG00000133687
endothelial_cell	ENSG00000054654
endothelial_cell	ENSG00000173269
endothelial_cell	ENSG00000136826
endothelial_cell	ENSG00000166265
endothelial_cell	ENSG00000060237
endothelial_cell	ENSG00000142192
endothelial_cell	ENSG00000159200
endothelial_cell	ENSG00000071282
endothelial_cell	ENSG00000125968
endothelial_cell	ENSG00000156298
endothelial_cell	ENSG00000179144
endothelial_cell	ENSG00000164056
endothelial_cell	ENSG00000164736
endothelial_cell	ENSG00000196126
endothelial_cell	ENSG00000167775
endothelial_cell	ENSG00000163399
endothelial_cell	ENSG00000251322
endothelial_cell	ENSG00000143537
endothelial_cell	ENSG00000172889
endothelial_cell	ENSG00000088387
endothelial_cell	ENSG00000152661
endothelial_cell	ENSG00000196139
endothelial_cell	ENSG00000170989
endothelial_cell	ENSG00000129422
endothelial_cell	ENSG00000148175
endothelial_cell	ENSG00000117461
endothelial_cell	ENSG00000074416
endothelial_cell	ENSG00000137507
endothelial_cell	ENSG00000163171
endothelial_cell	ENSG00000185010
endothelial_cell	ENSG00000173706
endothelial_cell	ENSG00000149564
endothelial_cell	ENSG00000104067
endothelial_cell	ENSG00000168309
endothelial_cell	ENSG00000137962
endothelial_cell	ENSG00000069122
endothelial_cell	ENSG00000133789
endothelial_cell	ENSG00000137710
endothelial_cell	ENSG00000161649
endothelial_cell	ENSG00000204301
endothelial_cell	ENSG00000136068
endothelial_cell	ENSG00000137831
endothelial_cell	ENSG00000133574
endothelial_cell	ENSG00000181019
endothelial_cell	ENSG00000173530
endothelial_cell	ENSG00000276409
endothelial_cell	ENSG00000223865
endothelial_cell	ENSG00000064989
endothelial_cell	ENSG00000154721
endothelial_cell	ENSG00000249751
endothelial_cell	ENSG00000122679
endothelial_cell	ENSG00000079337
endothelial_cell	ENSG00000099250
endothelial_cell	ENSG00000120279
endothelial_cell	ENSG00000163072
endothelial_cell	ENSG00000147113
endothelial_cell	ENSG00000126217
endothelial_cell	ENSG00000173482
endothelial_cell	ENSG00000277494
endothelial_cell	ENSG00000128567
endothelial_cell	ENSG00000116106
endothelial_cell	ENSG00000085871
endothelial_cell	ENSG00000105538
endothelial_cell	ENSG00000106537
endothelial_cell	ENSG00000167874
endothelial_cell	ENSG00000132688
endothelial_cell	ENSG00000124785
endothelial_cell	ENSG00000188559
endothelial_cell	ENSG00000046604
endothelial_cell	ENSG00000166398
endothelial_cell	ENSG00000157601
endothelial_cell	ENSG00000188643
endothelial_cell	ENSG00000105371
endothelial_cell	ENSG00000136244
endothelial_cell	ENSG00000173210
endothelial_cell	ENSG00000157554
endothelial_cell	ENSG00000140105
endothelial_cell	ENSG00000130396
endothelial_cell	ENSG00000110841
endothelial_cell	ENSG00000159167
endothelial_cell	ENSG00000130558
endothelial_cell	ENSG00000213203
endothelial_cell	ENSG00000074590
endothelial_cell	ENSG00000111145
endothelial_cell	ENSG00000186994
endothelial_cell	ENSG00000135363
endothelial_cell	ENSG00000198478
endothelial_cell	ENSG00000143669
endothelial_cell	ENSG00000007908
endothelial_cell	ENSG00000117298
endothelial_cell	ENSG00000154133
endothelial_cell	ENSG00000128052
endothelial_cell	ENSG00000071242
endothelial_cell	ENSG00000167434
endothelial_cell	ENSG00000148154
endothelial_cell	ENSG00000186642
endothelial_cell	ENSG00000085276
endothelial_cell	ENSG00000163083
endothelial_cell	ENSG00000114698
endothelial_cell	ENSG00000127946
endothelial_cell	ENSG00000163762
fibroblast	ENSG00000011465
fibroblast	ENSG00000197766
fibroblast	ENSG00000197614
fibroblast	ENSG00000148180
fibroblast	ENSG00000087245
fibroblast	ENSG00000077942
fibroblast	ENSG00000163520
fibroblast	ENSG00000167779
fibroblast	ENSG00000168079
fibroblast	ENSG00000189171
fibroblast	ENSG00000189129
fibroblast	ENSG00000176046
fibroblast	ENSG00000174807
fibroblast	ENSG00000170801
fibroblast	ENSG00000197747
fibroblast	ENSG00000182718
fibroblast	ENSG00000144476
fibroblast	ENSG00000221869
fibroblast	ENSG00000124107
fibroblast	ENSG00000035862
fibroblast	ENSG00000091986
fibroblast	ENSG00000142973
fibroblast	ENSG00000117143
fibroblast	ENSG00000119681
fibroblast	ENSG00000162576
fibroblast	ENSG00000154736
fibroblast	ENSG00000163710
fibroblast	ENSG00000135047
fibroblast	ENSG00000143387
fibroblast	ENSG00000115310
fibroblast	ENSG00000013588
fibroblast	ENSG00000101000
fibroblast	ENSG00000154175
fibroblast	ENSG00000205221
fibroblast	ENSG00000108679
fibroblast	ENSG00000162493
fibroblast	ENSG00000164530
fibroblast	ENSG00000198755
fibroblast	ENSG00000174080
fibroblast	ENSG00000129009
fibroblast	ENSG00000135404
fibroblast	ENSG00000136942
macrophage	ENSG00000173372
macrophage	ENSG00000173369
macrophage	ENSG00000129538
macrophage	ENSG00000177575
macrophage	ENSG00000159189
macrophage	ENSG00000164733
macrophage	ENSG00000110077
macrophage	ENSG00000124491
macrophage	ENSG00000260314
macrophage	ENSG00000155659
macrophage	ENSG00000133800
macrophage	ENSG00000250722
macrophage	ENSG00000204103
macrophage	ENSG00000163131
macrophage	ENSG00000169429
macrophage	ENSG00000166927
macrophage	ENSG00000204472
macrophage	ENSG00000170458
macrophage	ENSG00000110079
macrophage	ENSG00000010327
macrophage	ENSG00000119655
macrophage	ENSG00000135678
macrophage	ENSG00000165457
macrophage	ENSG00000100979
macrophage	ENSG00000030582
macrophage	ENSG00000137801
macrophage	ENSG00000197405
macrophage	ENSG00000143110
macrophage	ENSG00000178573
macrophage	ENSG00000087086
macrophage	ENSG00000125538
macrophage	ENSG00000101160
macrophage	ENSG00000197746
macrophage	ENSG00000165168
macrophage	ENSG00000162511
macrophage	ENSG00000081041
macrophage	ENSG00000117984
macrophage	ENSG00000197629
macrophage	ENSG00000163734
macrophage	ENSG00000153071
macrophage	ENSG00000127951
macrophage	ENSG00000143162
macrophage	ENSG00000182578
macrophage	ENSG00000100600
macrophage	ENSG00000090013
macrophage	ENSG00000241399
macrophage	ENSG00000113648
macrophage	ENSG00000104763
macrophage	ENSG00000145703
macrophage	ENSG00000120694
macrophage	ENSG00000168214
macrophage	ENSG00000130066
macrophage	ENSG00000166340
macrophage	ENSG00000105223
macrophage	ENSG00000118640
macrophage	ENSG00000120708
macrophage	ENSG00000109861
macrophage	ENSG00000153234
macrophage	ENSG00000185215
macrophage	ENSG00000113070
macrophage	ENSG00000072694
macrophage	ENSG00000038945
macrophage	ENSG00000105609
macrophage	ENSG00000158270
macrophage	ENSG00000107798
macrophage	ENSG00000131669
macrophage	ENSG00000137491
macrophage	ENSG00000113269
macrophage	ENSG00000155657
macrophage	ENSG00000143344
macrophage	ENSG00000164111
macrophage	ENSG00000162704
macrophage	ENSG00000171659
macrophage	ENSG00000100292
macrophage	ENSG00000169508
macrophage	ENSG00000114541
macrophage	ENSG00000084234
macrophage	ENSG00000185339
macrophage	ENSG00000245532
macrophage	ENSG00000184060
macrophage	ENSG00000163694
macrophage	ENSG00000138449
macrophage	ENSG00000131724
macrophage	ENSG00000066294
