type_II_pneumocyte	mature_NK_T_cell	adventitial_cell
ENSG00000011465	0.1	0	54.36
ENSG00000111341	0.506	0.0384615384615385	116.96
ENSG00000077942	0.035	0	27.36
ENSG00000197766	0.475	0.0384615384615385	31.12
ENSG00000118849	0.037	0	19.04
ENSG00000166741	9.925	0.0384615384615385	25.04
ENSG00000182326	1.695	0	9.8
ENSG00000159403	4.848	0.0384615384615385	13.12
ENSG00000142173	0.031	0.153846153846154	10
ENSG00000139329	0.042	0	11.52
ENSG00000106538	0.236	0	7.32
ENSG00000149131	2.552	0	11.24
ENSG00000189058	0.134	0	11.4
ENSG00000142156	0.065	0	6.44
ENSG00000091986	0.45	0	20
ENSG00000112936	0.049	0	7.72
ENSG00000107317	0.052	0.769230769230769	6.52
ENSG00000163661	0.332	0	8.12
ENSG00000163430	0.091	0	5.84
ENSG00000187193	5.168	0.0769230769230769	7.32
ENSG00000149257	4.652	0	7.6
ENSG00000142871	3.313	0	11.2
ENSG00000115594	4.011	0.0384615384615385	7.24
ENSG00000138061	3.921	0	4.96
ENSG00000196616	0.024	0	5.08
ENSG00000167779	0.197	0.0384615384615385	16.04
ENSG00000038427	0.232	0.0384615384615385	6.84
ENSG00000140285	0.852	0	3
ENSG00000123384	0.108	0.0384615384615385	3.4
ENSG00000116649	7.405	0.230769230769231	6.04
ENSG00000128595	4.278	0.269230769230769	4.92
ENSG00000166794	30.472	1.96153846153846	16.88
ENSG00000140092	0.857	0	2.32
ENSG00000108691	1.272	0.0384615384615385	7.2
ENSG00000158747	0.035	0	3.04
ENSG00000162407	0.679	0	3.04
ENSG00000115380	4.156	0	4.04
ENSG00000090006	0.392	0.0384615384615385	2.16
ENSG00000101955	0.085	0	2.56
ENSG00000134333	18.062	0.846153846153846	14.2
ENSG00000115461	0.02	0	4.04
ENSG00000069702	0.12	0.615384615384615	2.44
ENSG00000100979	0.107	0.115384615384615	1.6
ENSG00000109472	0.109	0	2.28
ENSG00000198856	5.316	0.423076923076923	4.24
ENSG00000123562	4.761	0.192307692307692	3.4
ENSG00000136235	0.13	0.0769230769230769	1.84
ENSG00000151914	0.756	0	2.76
ENSG00000157916	4.206	0.307692307692308	3.04
ENSG00000168653	12.435	0.846153846153846	6.68
ENSG00000166033	0.964	0.0384615384615385	1.72
ENSG00000182636	0.635	0	1.4
ENSG00000136732	0.081	1.07692307692308	2.68
ENSG00000136026	3.309	0	2.36
ENSG00000101182	17.207	1.23076923076923	9.12
ENSG00000253276	0.385	0.0769230769230769	2.48
ENSG00000050405	1.533	0.230769230769231	1.96
ENSG00000182463	0.007	0	1.52
ENSG00000163479	11.942	1.5	6.4
ENSG00000138760	2.71	0.115384615384615	1.88
ENSG00000087191	5.514	0.653846153846154	3.32
ENSG00000143387	0.037	0	1.64
ENSG00000105677	5.671	0.461538461538462	2.92
ENSG00000133104	1.957	0.115384615384615	1.76
ENSG00000196683	18.24	2.07692307692308	9.2
ENSG00000129116	0.252	0.0769230769230769	1.8
ENSG00000213585	6.694	0.384615384615385	2.92
ENSG00000233608	0.644	0	1.12
ENSG00000179271	6.33	0.384615384615385	3.16
ENSG00000131435	0.077	0	1.12
ENSG00000129562	7.36	1	5.24
ENSG00000118363	8.225	1.11538461538462	4.32
ENSG00000007237	0.031	0.346153846153846	1.2
ENSG00000011028	1.652	0	0.96
ENSG00000134824	2.923	0.0384615384615385	1.32
ENSG00000169490	0.666	0.153846153846154	1.08
ENSG00000106565	0.086	0	1.36
ENSG00000148803	0.316	0	0.84
ENSG00000079257	0.116	0	1.4
ENSG00000174780	4.749	0.384615384615385	2.32
ENSG00000115875	6.605	2.23076923076923	6.44
ENSG00000185565	0.003	0	0.6
ENSG00000136244	0.839	0	4.36
ENSG00000129680	0.047	0.0769230769230769	0.92
ENSG00000109113	2.061	0	1.24
ENSG00000134202	0.2	0	1.04
ENSG00000002933	0.062	0	1
ENSG00000174080	0.194	0.0384615384615385	0.8
ENSG00000117899	2.75	0.269230769230769	2.08
ENSG00000146674	0.025	0	0.68
ENSG00000174705	0.061	0	0.8
ENSG00000196935	0.086	0	0.68
ENSG00000152583	0.338	0	7.12
ENSG00000213088	0.371	0.0384615384615385	0.04
ENSG00000184113	0.332	0	0.16
ENSG00000110799	0.304	0.0384615384615385	0.4
ENSG00000261371	0.312	0.0769230769230769	0.4
ENSG00000107438	5.821	0.192307692307692	1.32
ENSG00000164056	0.532	0.0384615384615385	2.6
ENSG00000165949	1.674	0.115384615384615	0.32
ENSG00000162618	0.036	0	0
ENSG00000267107	0.095	0	0.12
ENSG00000127920	0.142	0.0384615384615385	1.24
ENSG00000196628	0.168	0.115384615384615	1.08
ENSG00000133110	0.024	0	0.24
ENSG00000130300	0.009	0	0
ENSG00000064989	0.094	0	0.36
ENSG00000150687	0.495	0.269230769230769	2.56
ENSG00000169908	8.064	0.115384615384615	0.4
ENSG00000113140	0.191	0.192307692307692	8.4
ENSG00000076706	0.09	0	0.04
ENSG00000240583	16.591	0.0769230769230769	0.24
ENSG00000142798	1.867	0	0.52
ENSG00000085063	10.566	0.153846153846154	3.64
ENSG00000125810	0.119	0.0769230769230769	0.16
ENSG00000175899	0.2	0.0384615384615385	15.76
ENSG00000068001	1.387	0	0.4
ENSG00000249751	0.052	0	0
ENSG00000131370	0.605	0.730769230769231	0.52
ENSG00000176435	0.07	0	0.08
ENSG00000088832	6.082	0.269230769230769	2.28
ENSG00000118946	0.121	0	0.12
ENSG00000134531	2.958	0.0769230769230769	4.36
ENSG00000131477	0.094	0	0.28
ENSG00000107281	0.251	0	0.88
ENSG00000116016	5.812	0	2.04
ENSG00000163638	0.328	0.0384615384615385	0.88
ENSG00000175130	0.079	0.0769230769230769	0.8
ENSG00000060138	13.193	0.153846153846154	8.88
ENSG00000105974	7.978	0.0769230769230769	1.36
ENSG00000182809	0.686	0.0384615384615385	0.28
ENSG00000172889	0.597	0.0384615384615385	0.16
ENSG00000143537	1.912	0.0384615384615385	0.48
ENSG00000149564	0.902	0.0384615384615385	0.08
ENSG00000100345	4.512	1.30769230769231	1.16
ENSG00000163513	5.423	0.423076923076923	2.52
ENSG00000203883	0.032	0.0384615384615385	0.04
ENSG00000164035	0.017	0	0
ENSG00000184497	0.021	0	0.04
ENSG00000106991	0.214	0.0769230769230769	1.96
ENSG00000115306	8.837	0.461538461538462	2.68
ENSG00000177469	4.028	0.0384615384615385	3.48
ENSG00000168899	0.365	0.5	1.52
ENSG00000127528	3.671	3.38461538461538	3.88
ENSG00000142192	2.009	0	1.56
ENSG00000169744	0.031	0.0384615384615385	0.08
ENSG00000122679	0.07	0	0.04
ENSG00000122378	4.329	0.0384615384615385	0.24
ENSG00000133789	1.403	0	0.24
ENSG00000108622	0.356	0.692307692307692	0.04
ENSG00000137962	1.491	0	0.4
ENSG00000155366	1.039	0.923076923076923	1.68
ENSG00000102755	0.04	0	0.12
ENSG00000099260	0.034	0	0.08
ENSG00000139567	0.083	0	0.32
ENSG00000091409	0.67	0.153846153846154	0.08
ENSG00000178980	13.996	0.923076923076923	2.44
ENSG00000169504	1.218	0	0.84
