cell_type	gene
adventitial_cell	ENSG00000011465
adventitial_cell	ENSG00000111341
adventitial_cell	ENSG00000077942
adventitial_cell	ENSG00000197766
adventitial_cell	ENSG00000118849
adventitial_cell	ENSG00000166741
adventitial_cell	ENSG00000182326
adventitial_cell	ENSG00000159403
adventitial_cell	ENSG00000142173
adventitial_cell	ENSG00000139329
adventitial_cell	ENSG00000106538
adventitial_cell	ENSG00000149131
adventitial_cell	ENSG00000189058
adventitial_cell	ENSG00000142156
adventitial_cell	ENSG00000091986
adventitial_cell	ENSG00000112936
adventitial_cell	ENSG00000107317
adventitial_cell	ENSG00000163661
adventitial_cell	ENSG00000163430
adventitial_cell	ENSG00000187193
adventitial_cell	ENSG00000149257
adventitial_cell	ENSG00000142871
adventitial_cell	ENSG00000115594
adventitial_cell	ENSG00000138061
adventitial_cell	ENSG00000196616
adventitial_cell	ENSG00000167779
adventitial_cell	ENSG00000038427
adventitial_cell	ENSG00000140285
adventitial_cell	ENSG00000123384
adventitial_cell	ENSG00000116649
adventitial_cell	ENSG00000128595
adventitial_cell	ENSG00000166794
adventitial_cell	ENSG00000140092
adventitial_cell	ENSG00000108691
adventitial_cell	ENSG00000158747
adventitial_cell	ENSG00000162407
adventitial_cell	ENSG00000115380
adventitial_cell	ENSG00000090006
adventitial_cell	ENSG00000101955
adventitial_cell	ENSG00000134333
adventitial_cell	ENSG00000115461
adventitial_cell	ENSG00000069702
adventitial_cell	ENSG00000100979
adventitial_cell	ENSG00000109472
adventitial_cell	ENSG00000198856
adventitial_cell	ENSG00000123562
adventitial_cell	ENSG00000136235
adventitial_cell	ENSG00000151914
adventitial_cell	ENSG00000157916
adventitial_cell	ENSG00000168653
adventitial_cell	ENSG00000166033
adventitial_cell	ENSG00000182636
adventitial_cell	ENSG00000136732
adventitial_cell	ENSG00000136026
adventitial_cell	ENSG00000101182
adventitial_cell	ENSG00000253276
mature_NK_T_cell	ENSG00000115523
mature_NK_T_cell	ENSG00000275302
mature_NK_T_cell	ENSG00000105374
mature_NK_T_cell	ENSG00000100453
mature_NK_T_cell	ENSG00000277632
mature_NK_T_cell	ENSG00000180644
mature_NK_T_cell	ENSG00000134539
mature_NK_T_cell	ENSG00000158050
mature_NK_T_cell	ENSG00000110848
mature_NK_T_cell	ENSG00000145649
mature_NK_T_cell	ENSG00000172543
mature_NK_T_cell	ENSG00000077984
mature_NK_T_cell	ENSG00000188042
mature_NK_T_cell	ENSG00000271503
mature_NK_T_cell	ENSG00000203747
mature_NK_T_cell	ENSG00000126264
mature_NK_T_cell	ENSG00000159674
mature_NK_T_cell	ENSG00000145287
mature_NK_T_cell	ENSG00000169554
mature_NK_T_cell	ENSG00000088179
mature_NK_T_cell	ENSG00000111796
mature_NK_T_cell	ENSG00000128340
mature_NK_T_cell	ENSG00000115232
mature_NK_T_cell	ENSG00000020633
mature_NK_T_cell	ENSG00000135048
mature_NK_T_cell	ENSG00000129968
mature_NK_T_cell	ENSG00000010810
mature_NK_T_cell	ENSG00000140030
