Tissue,Mixture,L1_Error,Accuracy,Iterations
Blood,Mixture1,0.1103327249660368,0.9448336375169816,14
Blood,Mixture2,0.1691194056274601,0.91544029718627,23
Blood,Mixture3,0.2970013361846594,0.8514993319076702,16
Blood,Mixture4,0.17705474880731,0.911472625596345,23
Blood,Mixture5,0.1381493047567514,0.9309253476216244,17
Blood,Mixture6,0.0967957641609565,0.9516021179195218,19
Blood,Mixture7,0.1682478789438323,0.9158760605280838,14
Blood,Mixture8,0.1779002844049619,0.911049857797519,30
Blood,Mixture9,0.2588292661044589,0.8705853669477706,17
Blood,Mixture10,0.3649729139830566,0.8175135430084717,23
Blood,Mixture11,0.1674690016929083,0.9162654991535458,21
Blood,Mixture12,0.1815569415002912,0.9092215292498544,18
Blood,Mixture13,0.1890271622378528,0.9054864188810736,18
Blood,Mixture14,0.0892712232919484,0.9553643883540258,14
Blood,Mixture15,0.1030977793656435,0.9484511103171782,29
Blood,Mixture16,0.3556873291418534,0.8221563354290733,28
Blood,Mixture17,0.2669670894383912,0.8665164552808045,30
Blood,Mixture18,0.1827684773193558,0.908615761340322,20
Blood,Mixture19,0.1492376398122955,0.9253811800938522,23
Blood,Mixture20,0.1452529083370813,0.9273735458314594,14
Blood,Mixture21,0.1110591089447158,0.944470445527642,18
Blood,Mixture22,0.1639787983161416,0.9180106008419292,15
Blood,Mixture23,0.1864033187700012,0.9067983406149994,22
Blood,Mixture24,0.1470052786646169,0.9264973606676916,38
Blood,Mixture25,0.1402783080559352,0.9298608459720324,26
Blood,Mixture26,0.2221555649884874,0.8889222175057563,23
Blood,Mixture27,0.1366081304084999,0.93169593479575,19
Blood,Mixture28,0.1990034643492088,0.9004982678253955,29
Blood,Mixture29,0.6369426554776524,0.6815286722611738,30
Blood,Mixture30,0.1809929075676939,0.909503546216153,20
Blood,Mixture31,0.1325485195499673,0.9337257402250164,12
Blood,Mixture32,0.2370211802101051,0.8814894098949474,22
Blood,Mixture33,0.1327114510039952,0.9336442744980024,15
Blood,Mixture34,0.1105963809925835,0.9447018095037084,16
Blood,Mixture35,0.2019158984434393,0.8990420507782804,16
Blood,Mixture36,0.1578023522572106,0.9210988238713947,24
Blood,Mixture37,0.1642234367490903,0.9178882816254548,25
Blood,Mixture38,0.1859258357751374,0.9070370821124312,20
Blood,Mixture39,0.2856654622045541,0.857167268897723,18
Blood,Mixture40,0.1742341542766949,0.9128829228616524,14
Blood,Mixture41,0.1984811060462258,0.9007594469768871,16
Blood,Mixture42,0.1325972196266701,0.933701390186665,20
Blood,Mixture43,0.3070695587575885,0.8464652206212058,13
Blood,Mixture44,0.237280757216275,0.8813596213918625,31
Blood,Mixture45,0.1571281793839691,0.9214359103080154,18
Blood,Mixture46,0.2035239465242881,0.8982380267378559,20
Blood,Mixture47,0.2779684358457588,0.8610157820771206,19
Blood,Mixture48,0.0835765062117963,0.9582117468941018,14
Blood,Mixture49,0.2076095007099961,0.896195249645002,18
Blood,Mixture50,0.1552273309571957,0.9223863345214022,18
Blood,Mixture51,0.1698104398578822,0.9150947800710588,24
Blood,Mixture52,0.1050265531468934,0.9474867234265532,11
Blood,Mixture53,0.2143945664127966,0.8928027167936017,20
Blood,Mixture54,0.1928439327188624,0.9035780336405688,21
Blood,Mixture55,0.1973497818414041,0.901325109079298,12
Blood,Mixture56,0.1057587142926771,0.9471206428536616,15
Blood,Mixture57,0.2090652529895756,0.8954673735052121,21
Blood,Mixture58,0.1355377837654416,0.9322311081172792,18
Blood,Mixture59,0.1806888345533941,0.9096555827233028,22
Blood,Mixture60,0.2535345689805825,0.8732327155097087,26
Blood,Mixture61,0.1928428262448293,0.9035785868775852,16
Blood,Mixture62,0.1914589992679725,0.9042705003660138,17
Blood,Mixture63,0.1175374183769243,0.941231290811538,15
Blood,Mixture64,0.1435952751278974,0.9282023624360513,18
Blood,Mixture65,0.1770633976450323,0.9114683011774838,17
Blood,Mixture66,0.1621909507213164,0.9189045246393418,17
Blood,Mixture67,0.3481929267766797,0.8259035366116602,36
Blood,Mixture68,0.1816695051363885,0.9091652474318056,14
Blood,Mixture69,0.194325808962384,0.902837095518808,25
Blood,Mixture70,0.1936343641312268,0.9031828179343866,22
Blood,Mixture71,0.1472433691223834,0.9263783154388082,26
Blood,Mixture72,0.1504405588626433,0.9247797205686784,25
Blood,Mixture73,0.3154796250568465,0.8422601874715767,16
Blood,Mixture74,0.2068940113732153,0.8965529943133923,25
Blood,Mixture75,0.1555494221207121,0.922225288939644,16
Blood,Mixture76,0.4152630136542347,0.7923684931728827,27
Blood,Mixture77,0.2105101926807888,0.8947449036596056,26
Blood,Mixture78,0.2275639000967046,0.8862180499516477,25
Blood,Mixture79,0.1731156649655706,0.9134421675172146,20
Blood,Mixture80,0.3915301135433138,0.8042349432283431,15
Blood,Mixture81,0.149107021438302,0.9254464892808488,20
Blood,Mixture82,0.21695147206005,0.891524263969975,19
Blood,Mixture83,0.2946149868032313,0.8526925065983844,33
Blood,Mixture84,0.3127269119437828,0.8436365440281086,11
Blood,Mixture85,0.116375033766527,0.9418124831167364,16
Blood,Mixture86,0.1425281874441091,0.9287359062779454,24
Blood,Mixture87,0.1898651123653003,0.9050674438173498,17
Blood,Mixture88,0.1657853623412905,0.9171073188293548,33
Blood,Mixture89,0.2683602462627419,0.865819876868629,12
Blood,Mixture90,0.3012618887638205,0.8493690556180897,22
Blood,Mixture91,0.1750053811014283,0.912497309449286,18
Blood,Mixture92,0.1941840695056298,0.9029079652471852,17
Blood,Mixture93,0.2439480153470651,0.8780259923264674,22
Blood,Mixture94,0.1777744755046042,0.911112762247698,16
Blood,Mixture95,0.2037787844822775,0.8981106077588612,24
Blood,Mixture96,0.1729803293585718,0.913509835320714,19
Blood,Mixture97,0.1885559748915201,0.90572201255424,20
Blood,Mixture98,0.199581202755824,0.9002093986220879,20
Blood,Mixture99,0.3189794040395952,0.8405102979802024,12
Blood,Mixture100,0.1695902428396603,0.91520487858017,15
