Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture1,erythrocyte,0.9995130177580721,0.6429361139721725,False
Blood,Mixture1,classical_monocyte,0.9992154863983849,0.8684052475150271,True
Blood,Mixture1,neutrophil,0.9994943896497326,0.9935679940043703,True
Blood,Mixture1,memory_B_cell,0.9993903284150081,0.9978174466014561,True
Blood,Mixture1,plasma_cell,0.9994872068339764,0.9980527423426521,True
Blood,Mixture1,platelet,0.999553376702053,0.998529493235542,True
Blood,Mixture2,erythrocyte,0.9995130177580721,0.9995130177580721,True
Blood,Mixture2,classical_monocyte,0.9992154863983849,0.9698181218662083,True
Blood,Mixture2,neutrophil,0.9994943896497326,0.779516046996155,False
Blood,Mixture2,memory_B_cell,0.9993903284150081,0.9833185621251049,True
Blood,Mixture2,plasma_cell,0.9994872068339764,0.9990434987695072,True
Blood,Mixture2,platelet,0.999553376702053,0.9881803597385435,True
Blood,Mixture3,erythrocyte,0.9995130177580721,0.6616936339116191,False
Blood,Mixture3,classical_monocyte,0.9992154863983849,0.9880418231298476,True
Blood,Mixture3,neutrophil,0.9994943896497326,0.7830730839434532,False
Blood,Mixture3,memory_B_cell,0.9993903284150081,0.9977556785606182,True
Blood,Mixture3,plasma_cell,0.9994872068339764,0.9984150272951182,True
Blood,Mixture3,platelet,0.999553376702053,0.9912257494894448,True
Blood,Mixture4,erythrocyte,0.9995130177580721,0.6974575632575464,False
Blood,Mixture4,classical_monocyte,0.9992154863983849,0.9566065443687948,True
Blood,Mixture4,neutrophil,0.9994943896497326,0.8120439555651816,True
Blood,Mixture4,memory_B_cell,0.9993903284150081,0.9985521683358298,True
Blood,Mixture4,plasma_cell,0.9994872068339764,0.9980559609503736,True
Blood,Mixture4,platelet,0.999553376702053,0.9995174027713964,True
Blood,Mixture5,erythrocyte,0.9995130177580721,0.7343871548656568,False
Blood,Mixture5,classical_monocyte,0.9992154863983849,0.9481065360458866,True
Blood,Mixture5,neutrophil,0.9994943896497326,0.9300028437452106,True
Blood,Mixture5,memory_B_cell,0.9993903284150081,0.9840489101753503,True
Blood,Mixture5,plasma_cell,0.9994872068339764,0.9992486466949967,True
Blood,Mixture5,platelet,0.999553376702053,0.996148388960055,True
Blood,Mixture6,erythrocyte,0.9995130177580721,0.8580305212320363,True
Blood,Mixture6,classical_monocyte,0.9992154863983849,0.979727321346038,True
Blood,Mixture6,neutrophil,0.9994943896497326,0.8690540461087363,True
Blood,Mixture6,memory_B_cell,0.9993903284150081,0.9861979297717297,True
Blood,Mixture6,plasma_cell,0.9994872068339764,0.9994872068339764,True
Blood,Mixture6,platelet,0.999553376702053,0.9943213840441191,True
Blood,Mixture7,erythrocyte,0.9995130177580721,0.7726670006749146,False
Blood,Mixture7,classical_monocyte,0.9992154863983849,0.9401895311719495,True
