Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture1,erythrocyte,0.9995130177580721,0.7181324711211292,False
Blood,Mixture1,classical_monocyte,0.9992154863983849,0.9044158015522211,True
Blood,Mixture1,neutrophil,0.9994943896497326,0.9971639570254465,True
Blood,Mixture1,memory_B_cell,0.9993903284150081,0.9985375500701092,True
Blood,Mixture1,plasma_cell,0.9994872068339764,0.9988818020482584,True
Blood,Mixture1,platelet,0.999553376702053,0.9990590975300148,True
Blood,Mixture2,erythrocyte,0.9995130177580721,0.9995130177580721,True
Blood,Mixture2,classical_monocyte,0.9992154863983849,0.9769908008703088,True
Blood,Mixture2,neutrophil,0.9994943896497326,0.8509598463255865,True
Blood,Mixture2,memory_B_cell,0.9993903284150081,0.9862412715642098,True
Blood,Mixture2,plasma_cell,0.9994872068339764,0.999257114698645,True
Blood,Mixture2,platelet,0.999553376702053,0.9928372150897832,True
Blood,Mixture3,erythrocyte,0.9995130177580721,0.7149391093791354,False
Blood,Mixture3,classical_monocyte,0.9992154863983849,0.9931214581448898,True
Blood,Mixture3,neutrophil,0.9994943896497326,0.8536091642650642,True
Blood,Mixture3,memory_B_cell,0.9993903284150081,0.9985664224982808,True
Blood,Mixture3,plasma_cell,0.9994872068339764,0.9990472154950905,True
Blood,Mixture3,platelet,0.999553376702053,0.9938057624718123,True
Blood,Mixture4,erythrocyte,0.9995130177580721,0.7382356221873481,False
Blood,Mixture4,classical_monocyte,0.9992154863983849,0.9650024734519337,True
Blood,Mixture4,neutrophil,0.9994943896497326,0.8474693299149276,True
Blood,Mixture4,memory_B_cell,0.9993903284150081,0.9989873801022788,True
Blood,Mixture4,plasma_cell,0.9994872068339764,0.9989436452966224,True
Blood,Mixture4,platelet,0.999553376702053,0.9995265228924206,True
Blood,Mixture5,erythrocyte,0.9995130177580721,0.7812699146097459,False
Blood,Mixture5,classical_monocyte,0.9992154863983849,0.9596147374045055,True
Blood,Mixture5,neutrophil,0.9994943896497326,0.9550177229289815,True
Blood,Mixture5,memory_B_cell,0.9993903284150081,0.9906218386045553,True
Blood,Mixture5,plasma_cell,0.9994872068339764,0.9993953232468784,True
Blood,Mixture5,platelet,0.999553376702053,0.9971995082217116,True
Blood,Mixture6,erythrocyte,0.9995130177580721,0.889182944804932,True
Blood,Mixture6,classical_monocyte,0.9992154863983849,0.984696622782982,True
Blood,Mixture6,neutrophil,0.9994943896497326,0.9307409408598374,True
Blood,Mixture6,memory_B_cell,0.9993903284150081,0.9920253721901725,True
Blood,Mixture6,plasma_cell,0.9994872068339764,0.9994872068339764,True
