Tissue,Mixture,MeanPerturbedSpearman,MeanRecoveredSpearman,MinRecoveredSpearman,MeanPass_0_8,AllCellTypesPass_0_8,MetaSortIterations,MetaSortConverged,Proportion_erythrocyte,Proportion_classical_monocyte,Proportion_neutrophil,Proportion_memory_B_cell,Proportion_plasma_cell,Proportion_platelet
Blood,Mixture1,0.9994423009595378,0.9165515062785367,0.6429361139721725,True,False,17,True,0.2708825678853088,0.5552551882717969,0.007847211486048155,0.024157615325938173,0.1386916125910614,0.003165804439846783
Blood,Mixture2,0.9994423009595378,0.9532316012089318,0.779516046996155,True,False,27,True,0.0,0.23870731722241723,0.589373734418515,0.06676019547348501,0.028016635131070132,0.07714211775451259
Blood,Mixture3,0.9994423009595378,0.9033674993883501,0.6616936339116191,True,False,30,True,0.3494680043518422,0.07402652176742706,0.4592369083526041,0.01753460437216359,0.046031504956847755,0.053702456199115234
Blood,Mixture4,0.9994423009595378,0.9103722658748539,0.6974575632575464,True,False,18,True,0.3320717191496094,0.23831605323401567,0.35764349057615386,0.013326604587492352,0.05798280743495544,0.0006593250177732059
Blood,Mixture5,0.9994423009595378,0.9319904134145259,0.7343871548656568,True,False,15,True,0.269242949547195,0.41374721668778563,0.1616060021075105,0.08985357480779405,0.04074116681398405,0.024809090035730664
Blood,Mixture6,0.9994423009595378,0.9478030682227726,0.8580305212320363,True,True,17,True,0.13153292525317764,0.2679179173092093,0.4913804427128236,0.050858967192712747,0.0,0.0583097475320766
Blood,Mixture7,0.9994423009595378,0.9275081163648508,0.7726670006749146,True,False,12,True,0.1712899423686752,0.42407193936735366,0.21710120853137832,0.11787549613974255,0.06151877309503527,0.008142640497815169
Blood,Mixture8,0.9994423009595378,0.9130867236039949,0.7477471815102585,True,False,21,True,0.1798195744783809,0.29232457830701286,0.4160675894352598,0.022931812453421158,0.07104120195271836,0.017815243373207
Blood,Mixture9,0.9994423009595378,0.9110530627817327,0.660247945161658,True,False,15,True,0.3884973374401243,0.23611231221519224,0.23845638359973814,0.012776448118147802,0.08780512597022935,0.03635239265656821
Blood,Mixture10,0.9994423009595378,0.9180666727710132,0.6190844448444146,True,False,20,True,0.4672319393805926,0.34925223735626504,0.002430969692239389,0.05364705598593778,0.12606557405339616,0.0013722235315690842
