Tissue,Mixture,CellType,Spearman
Blood,Mixture1,erythrocyte,0.7150634004682133
Blood,Mixture1,classical_monocyte,0.932729120307949
Blood,Mixture1,neutrophil,0.9999700553945188
Blood,Mixture1,memory_B_cell,0.9883310609600977
Blood,Mixture1,plasma_cell,0.9993691529007616
Blood,Mixture1,platelet,0.997650111849375
Blood,Mixture2,erythrocyte,1.0
Blood,Mixture2,classical_monocyte,0.9699944631335209
Blood,Mixture2,neutrophil,0.8018101451323159
Blood,Mixture2,memory_B_cell,0.9812804084864676
Blood,Mixture2,plasma_cell,0.9995083960014767
Blood,Mixture2,platelet,0.9895919724127413
Blood,Mixture3,erythrocyte,0.7017051582217303
Blood,Mixture3,classical_monocyte,0.9884229933295244
Blood,Mixture3,neutrophil,0.851138164480921
Blood,Mixture3,memory_B_cell,0.9674472632833598
Blood,Mixture3,plasma_cell,0.9988602297131726
Blood,Mixture3,platelet,0.9946438707714839
Blood,Mixture4,erythrocyte,0.7373049590639421
Blood,Mixture4,classical_monocyte,0.9755614469354424
Blood,Mixture4,neutrophil,0.8352719636046447
Blood,Mixture4,memory_B_cell,0.9795606752313137
Blood,Mixture4,plasma_cell,0.9985781417364348
Blood,Mixture4,platelet,0.9996028368462844
Blood,Mixture5,erythrocyte,0.7285477996774236
Blood,Mixture5,classical_monocyte,0.9484557272701658
Blood,Mixture5,neutrophil,0.9332934490163746
Blood,Mixture5,memory_B_cell,0.9854460753473056
Blood,Mixture5,plasma_cell,0.9996838484390591
Blood,Mixture5,platelet,0.9971607558799921
Blood,Mixture6,erythrocyte,0.8557487865570717
Blood,Mixture6,classical_monocyte,0.9807815386408326
Blood,Mixture6,neutrophil,0.8814253735907329
Blood,Mixture6,memory_B_cell,0.9883660884304503
Blood,Mixture6,plasma_cell,1.0
Blood,Mixture6,platelet,0.9950570589248575
Blood,Mixture7,erythrocyte,0.7675959424572447
Blood,Mixture7,classical_monocyte,0.9410856460959791
Blood,Mixture7,neutrophil,0.8884933689661211
Blood,Mixture7,memory_B_cell,0.9744872851373803
Blood,Mixture7,plasma_cell,0.9992765796120087
Blood,Mixture7,platelet,0.998889338885264
Blood,Mixture8,erythrocyte,0.7593520655869608
Blood,Mixture8,classical_monocyte,0.9547942690654551
Blood,Mixture8,neutrophil,0.763054591029734
Blood,Mixture8,memory_B_cell,0.979795987416095
Blood,Mixture8,plasma_cell,0.9971812832502573
Blood,Mixture8,platelet,0.9978536862607699
Blood,Mixture9,erythrocyte,0.6520248934535114
Blood,Mixture9,classical_monocyte,0.957198361571552
Blood,Mixture9,neutrophil,0.8469081429906942
Blood,Mixture9,memory_B_cell,0.9993252267429537
Blood,Mixture9,plasma_cell,0.9977487754967596
Blood,Mixture9,platelet,0.9967467393502517
Blood,Mixture10,erythrocyte,0.6158378355813706
Blood,Mixture10,classical_monocyte,0.9067289367930546
Blood,Mixture10,neutrophil,0.9995053865942108
Blood,Mixture10,memory_B_cell,0.9950320336667986
Blood,Mixture10,plasma_cell,0.9987632691317656
Blood,Mixture10,platelet,0.9997246364457604
Blood,Mixture11,erythrocyte,0.7566920805417842
Blood,Mixture11,classical_monocyte,0.978359793839485
Blood,Mixture11,neutrophil,0.8689092172328734
Blood,Mixture11,memory_B_cell,0.9674497469474277
Blood,Mixture11,plasma_cell,0.9997017806820792
Blood,Mixture11,platelet,0.997469947524201
Blood,Mixture12,erythrocyte,0.7539136398297809
Blood,Mixture12,classical_monocyte,0.957173180200344
Blood,Mixture12,neutrophil,0.8126506287463339
Blood,Mixture12,memory_B_cell,0.9800701809335806
Blood,Mixture12,plasma_cell,0.998289041792875
Blood,Mixture12,platelet,0.9999226731333785
Blood,Mixture13,erythrocyte,0.7389148667243408
Blood,Mixture13,classical_monocyte,0.9553527498495951
Blood,Mixture13,neutrophil,0.8901043288888325
Blood,Mixture13,memory_B_cell,0.9709828225038503
Blood,Mixture13,plasma_cell,0.9994465527531127
Blood,Mixture13,platelet,0.9999171555030025
Blood,Mixture14,erythrocyte,0.7299233863644954
Blood,Mixture14,classical_monocyte,0.9512656700602122
Blood,Mixture14,neutrophil,0.9995612526048359
Blood,Mixture14,memory_B_cell,0.9789357391872339
Blood,Mixture14,plasma_cell,0.9996810513156821
Blood,Mixture14,platelet,0.9930402022589468
Blood,Mixture15,erythrocyte,1.0
Blood,Mixture15,classical_monocyte,0.9577994681259736
Blood,Mixture15,neutrophil,0.8264347964186567
Blood,Mixture15,memory_B_cell,0.9834076587462685
Blood,Mixture15,plasma_cell,0.9984100461165014
Blood,Mixture15,platelet,0.9976023565003034
Blood,Mixture16,erythrocyte,0.6298802960064336
Blood,Mixture16,classical_monocyte,0.9865729922247333
Blood,Mixture16,neutrophil,0.8518633914871647
Blood,Mixture16,memory_B_cell,0.994724096299907
Blood,Mixture16,plasma_cell,0.9993696893353817
Blood,Mixture16,platelet,0.9742246318829537
Blood,Mixture17,erythrocyte,0.7783083946889942
Blood,Mixture17,classical_monocyte,0.9606045039300001
Blood,Mixture17,neutrophil,0.7731224583576405
Blood,Mixture17,memory_B_cell,0.9974909028683725
Blood,Mixture17,plasma_cell,0.9979812432323458
Blood,Mixture17,platelet,0.9889281616029607
Blood,Mixture18,erythrocyte,0.7124895185253286
Blood,Mixture18,classical_monocyte,0.9598604160748773
