Tissue,Mixture,CellType,Spearman
Blood,Mixture1,erythrocyte,0.7750464221567099
Blood,Mixture1,classical_monocyte,0.957745230892823
Blood,Mixture1,neutrophil,0.9999799794663651
Blood,Mixture1,memory_B_cell,0.9926758629597933
Blood,Mixture1,plasma_cell,0.9996372169438555
Blood,Mixture1,platelet,0.9981622600827492
Blood,Mixture2,erythrocyte,1.0
Blood,Mixture2,classical_monocyte,0.9769498015545158
Blood,Mixture2,neutrophil,0.8606673407625192
Blood,Mixture2,memory_B_cell,0.985486027683722
Blood,Mixture2,plasma_cell,0.999751669101763
Blood,Mixture2,platelet,0.9933360263030265
Blood,Mixture3,erythrocyte,0.7602684793116262
Blood,Mixture3,classical_monocyte,0.9937840279187281
Blood,Mixture3,neutrophil,0.8989795984460452
Blood,Mixture3,memory_B_cell,0.9744456827689568
Blood,Mixture3,plasma_cell,0.9994577795633796
Blood,Mixture3,platelet,0.9965361219528566
Blood,Mixture4,erythrocyte,0.7821078056975995
Blood,Mixture4,classical_monocyte,0.982224993216291
Blood,Mixture4,neutrophil,0.881813847789141
Blood,Mixture4,memory_B_cell,0.9865708068059571
Blood,Mixture4,plasma_cell,0.9994555571913815
Blood,Mixture4,platelet,0.9998240767384798
Blood,Mixture5,erythrocyte,0.785369330068596
Blood,Mixture5,classical_monocyte,0.9602388862443347
Blood,Mixture5,neutrophil,0.9587032942391447
Blood,Mixture5,memory_B_cell,0.991717418338078
Blood,Mixture5,plasma_cell,0.9998357360701089
Blood,Mixture5,platelet,0.9980287890369397
Blood,Mixture6,erythrocyte,0.8833116653743454
Blood,Mixture6,classical_monocyte,0.9853185815404002
Blood,Mixture6,neutrophil,0.9421690101129376
Blood,Mixture6,memory_B_cell,0.9935178173726027
Blood,Mixture6,plasma_cell,1.0
Blood,Mixture6,platelet,0.9965187194138537
Blood,Mixture7,erythrocyte,0.8036482379010338
Blood,Mixture7,classical_monocyte,0.9543968121769815
Blood,Mixture7,neutrophil,0.9367484034078909
Blood,Mixture7,memory_B_cell,0.9847555847579543
Blood,Mixture7,plasma_cell,0.9996111232312558
Blood,Mixture7,platelet,0.9993145375583634
Blood,Mixture8,erythrocyte,0.7859666543563087
Blood,Mixture8,classical_monocyte,0.9634886851366501
Blood,Mixture8,neutrophil,0.8501008393975495
Blood,Mixture8,memory_B_cell,0.987269947825403
Blood,Mixture8,plasma_cell,0.9983201166840914
Blood,Mixture8,platelet,0.9984781376297343
Blood,Mixture9,erythrocyte,0.6955459780571529
Blood,Mixture9,classical_monocyte,0.9717319755607582
Blood,Mixture9,neutrophil,0.9110233793865261
Blood,Mixture9,memory_B_cell,0.9996658705714209
Blood,Mixture9,plasma_cell,0.9989949514363741
Blood,Mixture9,platelet,0.9977990283657235
Blood,Mixture10,erythrocyte,0.6347756673826058
Blood,Mixture10,classical_monocyte,0.9438672199567164
Blood,Mixture10,neutrophil,0.9997615732519874
Blood,Mixture10,memory_B_cell,0.9976380043457077
Blood,Mixture10,plasma_cell,0.9993265063484512
Blood,Mixture10,platelet,0.9998546939699451
Blood,Mixture11,erythrocyte,0.7963537571929663
Blood,Mixture11,classical_monocyte,0.9838308400289898
Blood,Mixture11,neutrophil,0.9323910568889409
Blood,Mixture11,memory_B_cell,0.9783136003919869
Blood,Mixture11,plasma_cell,0.9998637839373966
Blood,Mixture11,platelet,0.9982560036788245
Blood,Mixture12,erythrocyte,0.7834708853084048
Blood,Mixture12,classical_monocyte,0.9654060386446439
Blood,Mixture12,neutrophil,0.8714488117606997
Blood,Mixture12,memory_B_cell,0.9880359808171925
Blood,Mixture12,plasma_cell,0.999294933339373
Blood,Mixture12,platelet,0.9999227880930589
Blood,Mixture13,erythrocyte,0.7839529801306736
Blood,Mixture13,classical_monocyte,0.9681575736026454
Blood,Mixture13,neutrophil,0.9403924963523477
Blood,Mixture13,memory_B_cell,0.9828446024491487
Blood,Mixture13,plasma_cell,0.9997092907667627
Blood,Mixture13,platelet,0.9999212557202952
Blood,Mixture14,erythrocyte,0.7836791864433237
Blood,Mixture14,classical_monocyte,0.9671297427159473
Blood,Mixture14,neutrophil,0.9997794672348147
Blood,Mixture14,memory_B_cell,0.9881622835428516
Blood,Mixture14,plasma_cell,0.9998316361769398
Blood,Mixture14,platelet,0.9939871287030058
Blood,Mixture15,erythrocyte,1.0
Blood,Mixture15,classical_monocyte,0.9685665166519007
Blood,Mixture15,neutrophil,0.897913908835464
Blood,Mixture15,memory_B_cell,0.9890984214378502
Blood,Mixture15,plasma_cell,0.9993179617112857
Blood,Mixture15,platelet,0.9984856634171002
Blood,Mixture16,erythrocyte,0.675797210433145
Blood,Mixture16,classical_monocyte,0.9914771764471296
Blood,Mixture16,neutrophil,0.9019966388898264
Blood,Mixture16,memory_B_cell,0.9975046596800163
Blood,Mixture16,plasma_cell,0.999687795065194
Blood,Mixture16,platelet,0.9900353091381642
Blood,Mixture17,erythrocyte,0.8143423770885948
Blood,Mixture17,classical_monocyte,0.9678259117528906
Blood,Mixture17,neutrophil,0.8510649984397384
Blood,Mixture17,memory_B_cell,0.9987107074997289
Blood,Mixture17,plasma_cell,0.9989988597457501
Blood,Mixture17,platelet,0.9926515823160978
Blood,Mixture18,erythrocyte,0.7497208996400393
Blood,Mixture18,classical_monocyte,0.9678076381001028
Blood,Mixture18,neutrophil,0.927369938049323
Blood,Mixture18,memory_B_cell,0.9798680136666331
Blood,Mixture18,plasma_cell,0.9995982488003697
Blood,Mixture18,platelet,0.9999240530648034
Blood,Mixture19,erythrocyte,0.7822931713792094
Blood,Mixture19,classical_monocyte,0.9721383247552188
Blood,Mixture19,neutrophil,0.9456659645416223
Blood,Mixture19,memory_B_cell,0.9876577152608624
Blood,Mixture19,plasma_cell,0.9997973809947606
Blood,Mixture19,platelet,1.0
Blood,Mixture20,erythrocyte,0.795115479310035
Blood,Mixture20,classical_monocyte,0.9636143905417893
Blood,Mixture20,neutrophil,0.9360742073455851
Blood,Mixture20,memory_B_cell,0.9781044933771735
Blood,Mixture20,plasma_cell,0.9995256002260835
Blood,Mixture20,platelet,0.9999227499991
