Tissue,Mixture,MeanSpearman,MinSpearman,AllPass_0_8,MetaSortIterations
Blood,Mixture1,0.938852150313486,0.7150634004682133,False,14
Blood,Mixture2,0.9570308975277538,0.8018101451323159,True,23
Blood,Mixture3,0.9170362799666987,0.7017051582217303,False,16
Blood,Mixture4,0.9209800039030104,0.7373049590639421,False,23
Blood,Mixture5,0.9320979426050536,0.7285477996774236,False,17
Blood,Mixture6,0.9502298076906573,0.8557487865570717,True,19
Blood,Mixture7,0.9283046935256664,0.7675959424572447,False,14
Blood,Mixture8,0.9086719804348787,0.7593520655869608,False,30
Blood,Mixture9,0.9083253566009537,0.6520248934535114,False,17
Blood,Mixture10,0.9192653497021602,0.6158378355813706,False,23
Blood,Mixture11,0.9280970944613084,0.7566920805417842,False,21
Blood,Mixture12,0.9170032241060487,0.7539136398297809,False,18
Blood,Mixture13,0.9257864127037889,0.7389148667243408,False,18
Blood,Mixture14,0.9420678836319011,0.7299233863644954,False,14
Blood,Mixture15,0.9606090543179505,0.8264347964186567,True,29
Blood,Mixture16,0.9061058495394289,0.6298802960064336,False,28
Blood,Mixture17,0.9160726107800524,0.7731224583576405,False,30
Blood,Mixture18,0.9191664134662939,0.7124895185253286,False,20
Blood,Mixture19,0.9299969986431614,0.7276436438177175,False,23
Blood,Mixture20,0.9265953969246623,0.7539291735398627,False,14
Blood,Mixture21,0.9331871916825882,0.8145778043910057,True,18
Blood,Mixture22,0.9375687684017677,0.7657680301313012,False,15
Blood,Mixture23,0.9181000358015333,0.7384269150265922,False,22
Blood,Mixture24,0.9277650278240236,0.717415290263218,False,38
Blood,Mixture25,0.9568550932350822,0.8153328242412963,True,26
Blood,Mixture26,0.899060963978909,0.706031327608955,False,23
Blood,Mixture27,0.9251553040304064,0.7464630393424336,False,19
Blood,Mixture28,0.939772311735482,0.7461773659188305,False,29
Blood,Mixture29,0.9433234488378003,0.7961094627069968,False,30
Blood,Mixture30,0.9136362587299244,0.7183198234571876,False,20
Blood,Mixture31,0.9426845109069143,0.7463155956372134,False,12
Blood,Mixture32,0.9089810026312352,0.6916999863556385,False,22
Blood,Mixture33,0.9399838407998291,0.7720351109308524,False,15
Blood,Mixture34,0.9267401993320372,0.7695601214626765,False,16
Blood,Mixture35,0.9268746524269064,0.7838756651827943,False,16
Blood,Mixture36,0.9155444670699318,0.7563177355030385,False,24
Blood,Mixture37,0.9156129496896348,0.7101547872482818,False,25
Blood,Mixture38,0.9506236057832246,0.8106875003726676,True,20
Blood,Mixture39,0.943060537115063,0.7313860022081102,False,18
Blood,Mixture40,0.9390372382480073,0.8161745969103684,True,14
Blood,Mixture41,0.9207425113913476,0.7588566536437172,False,16
Blood,Mixture42,0.9352081644158524,0.7712547096860137,False,20
Blood,Mixture43,0.9168119001885003,0.758700317362391,False,13
Blood,Mixture44,0.9277612002414273,0.7152336467592233,False,31
Blood,Mixture45,0.9408954808225195,0.8284456177680328,True,18
Blood,Mixture46,0.9195174783862224,0.7666776974019553,False,20
Blood,Mixture47,0.93829053465292,0.7019334099992623,False,19
Blood,Mixture48,0.9435567338649825,0.7784401657507726,False,14
Blood,Mixture49,0.9191218909981144,0.7784052008407356,False,18
Blood,Mixture50,0.9336827517372362,0.7365327890431692,False,18
Blood,Mixture51,0.936743069859585,0.7741541890118993,False,24
Blood,Mixture52,0.9411237731106529,0.7554533726674932,False,11
Blood,Mixture53,0.9255746274900588,0.7416761075438982,False,20
Blood,Mixture54,0.9236501340924633,0.748228604966415,False,21
Blood,Mixture55,0.9333439257860975,0.8008887223709251,True,12
Blood,Mixture56,0.9235281969613257,0.7758996873612377,False,15
Blood,Mixture57,0.9195849188647504,0.7240567590177047,False,21
Blood,Mixture58,0.9602319826480298,0.8185535543225563,True,18
Blood,Mixture59,0.930025803322776,0.7174376789469349,False,22
Blood,Mixture60,0.9182019203214957,0.6939117607349338,False,26
Blood,Mixture61,0.9199691893620857,0.7376054342595468,False,16
Blood,Mixture62,0.920538920635345,0.7153164749173523,False,17
